"word","pron","lemme","len","phlen","voisorth","voisphon","syll","nbsyll","Moy_Consistance_GP","Min_Consistance_GP","Nb_Irregular_GP","Pos_Irregular_GP","Moy_Consistance_PG","Min_Consistance_PG","Nb_Irregular_PG","Pos_Irregular_PG","Decom_GP","freq"
"mise","miz","mise",4,3,17,20,"miz",1,"0.81","0.51","0","0","0.83","0.4","0","0","m-m.i-i.s-z.e-#",43.04
"toit","twa","toit",4,3,7,15,"twa",1,"0.94","0.82","0","0","0.65","0.01","1","3","t-t.oi-wa.t-#",91.76
"pâte","pat","pâte",4,3,11,35,"pat",1,"0.98","0.93","0","0","0.58","0.03","1","2","p-p.â-a.t-t.e-#",24.73
"joli","Zoli","joli",4,4,3,8,"Zo-li",2,"0.91","0.7","0","0","0.7","0.44","0","0","j-Z.o-o.l-l.i-i",120
"bleu","bl2","bleu",4,3,2,9,"bl2",1,"0.99","0.96","0","0","0.93","0.88","0","0","b-b.l-l.eu-2",263.86
"moto","moto","moto",4,4,10,15,"mo-to",2,"0.91","0.7","0","0","0.88","0.73","0","0","m-m.o-o.t-t.o-o",19.26
"prix","pRi","prix",4,3,8,19,"pRi",1,"0.92","0.75","0","0","0.73","0.02","1","4","p-p.r-R.i-i.x-#",107.5
"sexe","sEks","sexe",4,4,2,6,"sEks",1,"0.78","0.38","1","2","0.69","0.4","0","0","s-s.e-E.x-ks.e-#",52.7
"nier","nje","nier",4,3,8,17,"nje",1,"0.75","0.24","1","2","0.72","0.32","1","3","n-n.i-j.er-e",23.58
"pépé","pepe","pépé",4,4,4,14,"pe-pe",2,"1","0.99","0","0","0.8","0.42","0","0","p-p.é-e.p-p.é-e",16.96
"huit","yit","huit",4,3,8,12,"8it",1,"0.73","0.18","1","3","0.97","0.91","0","0","h-#.ui-8i.t-t",102.5
"soin","sw5","soin",4,3,12,10,"sw5",1,"1","1","0","0","0.93","0.87","0","0","s-s.oin-w5",68.24
"rock","ROk","rock",4,3,4,21,"ROk",1,"0.77","0.3","1","2","0.71","0.16","1","3","r-R.o-O.ck-k",19.93
"vice","vis","vice",4,3,9,22,"vis",1,"0.77","0.35","1","3","0.64","0.21","1","3","v-v.i-i.c-s.e-#",18.45
"cour","kuR","cour",4,3,10,24,"kuR",1,"0.94","0.91","0","0","0.96","0.93","0","0","c-k.ou-u.r-R",150.14
"clan","kl@","clan",4,3,10,14,"kl@",1,"0.97","0.91","0","0","0.62","0.03","1","3","c-k.l-l.an-@",16.42
"flot","flo","flot",4,3,8,13,"flo",1,"0.88","0.7","0","0","0.69","0.01","1","4","f-f.l-l.o-o.t-#",45.95
"aile","El","aile",4,2,13,16,"El",1,"0.86","0.59","0","0","0.46","0.06","1","1","ai-E.l-l.e-#",60.47
"tous","tus","tous",4,3,17,18,"tus",1,"0.65","0.03","1","3","0.93","0.87","0","0","t-t.ou-u.s-s",238.72
"nord","nOR","nord",4,3,6,19,"nOR",1,"0.79","0.3","1","2","0.74","0.01","1","4","n-n.o-O.r-R.d-#",84.19
"vert","vER","vert",4,3,4,22,"vER",1,"0.8","0.38","1","2","0.65","0.01","1","4","v-v.e-E.r-R.t-#",179.8
"race","Ras","race",4,3,16,33,"Ras",1,"0.83","0.35","1","3","0.64","0.21","1","3","r-R.a-a.c-s.e-#",34.93
"tels","tEl","tels",4,3,4,21,"tEl",1,"0.84","0.38","1","2","0.67","0.18","1","4","t-t.e-E.l-l.s-#",35.41
