"word","pron","lemme","len","phlen","voisorth","voisphon","syll","nbsyll","Moy_Consistance_GP","Min_Consistance_GP","Nb_Irregular_GP","Pos_Irregular_GP","Moy_Consistance_PG","Min_Consistance_PG","Nb_Irregular_PG","Pos_Irregular_PG","Decom_GP","freq"
"presse","pREs","presse",6,4,6,12,"pREs",1,"0.88","0.38","1","3","0.65","0.27","1","4","p-p.r-R.e-E.ss-s.e-#",41.82
"treize","tREz","treize",6,4,0,10,"tREz",1,"0.96","0.84","0","0","0.48","0.03","2","3","t-t.r-R.ei-E.z-z.e-#",20.95
"pousser","puse","pousser",7,4,5,19,"pu-se",2,"0.98","0.92","0","0","0.64","0.27","2","3","p-p.ou-u.ss-s.er-e",288.92
"drame","dRam","drame",5,4,6,14,"dRam",1,"1","0.99","0","0","0.85","0.4","0","0","d-d.r-R.a-a.m-m.e-#",39.93
"fringue","fR5g","fringue",7,4,4,3,"fR5g",1,"0.99","0.95","0","0","0.6","0.21","1","4","f-f.r-R.in-5.gu-g.e-#",11.82
"ticket","tikE","ticket",6,4,1,12,"ti-kE",2,"0.94","0.75","0","0","0.49","0.01","2","3","t-t.i-i.ck-k.et-E",15.81
"grange","gR@Z","grange",6,4,4,6,"gR@Z",1,"0.95","0.81","0","0","0.84","0.51","0","0","g-g.r-R.an-@.ge-Z",46.01
"grappe","gRap","grappe",6,4,5,16,"gRap",1,"0.96","0.81","0","0","0.67","0.1","1","4","g-g.r-R.a-a.pp-p.e-#",12.3
"branche","bR@S","branche",7,4,7,9,"bR@S",1,"0.99","0.93","0","0","0.77","0.4","0","0","b-b.r-R.an-@.ch-S.e-#",85.61
"flic","flik","flic",4,4,5,8,"flik",1,"0.9","0.75","0","0","0.84","0.54","0","0","f-f.l-l.i-i.c-k",72.43
"roman","Rom@","roman",5,4,3,12,"Ro-m@",2,"0.92","0.7","0","0","0.71","0.03","1","4","r-R.o-o.m-m.an-@",87.91
"tâcher","taSe","tâcher",6,4,8,21,"ta-Se",2,"0.98","0.93","0","0","0.58","0.03","2","2","t-t.â-a.ch-S.er-e",27.5
"cochon","koS&","cochon",6,4,2,15,"ko-S§",2,"0.89","0.7","0","0","0.79","0.35","1","4","c-k.o-o.ch-S.on-§",27.37
"attente","at@t","attente",7,4,4,8,"a-t@t",2,"0.96","0.9","0","0","0.56","0.07","2","2","a-a.tt-t.en-@.t-t.e-#",63.85
"tiers","tjER","tiers",5,4,2,13,"tjER",1,"0.72","0.24","2","2","0.71","0.18","1","5","t-t.i-j.e-E.r-R.s-#",17.9
"cassé","kase","cassé",5,4,8,26,"ka-se",2,"0.98","0.91","0","0","0.65","0.27","1","3","c-k.a-a.ss-s.é-e",22.84
"prince","pR5s","prince",6,4,1,4,"pR5s",1,"0.87","0.35","1","4","0.61","0.21","1","4","p-p.r-R.in-5.c-s.e-#",101.22
"graisse","gREs","graisse",7,4,2,14,"gREs",1,"0.94","0.81","0","0","0.54","0.15","2","3","g-g.r-R.ai-E.ss-s.e-#",18.31
"clair","klER","clair",5,4,5,10,"klER",1,"0.95","0.9","0","0","0.75","0.15","1","3","c-k.l-l.ai-E.r-R",170.81
"chameau","Samo","chameau",7,4,1,6,"Sa-mo",2,"0.97","0.91","0","0","0.76","0.22","1","4","ch-S.a-a.m-m.eau-o",10.54
"chiffon","Sif&","chiffon",7,4,0,9,"Si-f§",2,"0.91","0.75","0","0","0.62","0.24","2","3","ch-S.i-i.ff-f.on-§",18.99
