num,t,word,value,success,error_type,test
0,0,!mi!,528,,None,1
1,0,!mi!,0.8044983869873397,True,None,1
2,0,!mi!,0.6397108037269651,False,None,1
3,0,!mi!,!mi!~~~~~~,True,None,1
4,0,!mi!,!mi!,True,None,1
5,0,!mi!,8.178568840026855,,None,1
0,0,!mort!,732,,None,1
1,0,!mort!,0.9743367723672574,True,None,1
2,0,!mort!,0.7418707466804698,True,None,1
3,0,!mort!,!mOR!~~~~~,True,None,1
4,0,!mort!,!mort!,True,None,1
5,0,!mort!,21.680517196655273,,None,1
0,0,!vague!,847,,None,1
1,0,!vague!,0.984845687547958,True,None,1
2,0,!vague!,0.7783856352615449,True,None,1
3,0,!vague!,!vag!~~~~~,True,None,1
4,0,!vague!,!vague!,True,None,1
5,0,!vague!,43.0421576499939,,None,1
0,0,!quartz!,1466,,None,1
1,0,!quartz!,0.9958567738690499,True,None,1
2,0,!quartz!,0.9501667630354019,True,None,1
3,0,!quartz!,!kwaRts!~~,True,None,1
4,0,!quartz!,!quartz!,True,None,1
5,0,!quartz!,120.5876522064209,,None,1
0,0,!quant!,1749,,None,1
1,0,!quant!,0.06242254887745457,True,None,1
2,0,!quant!,0.20878990362098854,True,None,1
3,0,!quant!,!k@!!~~~~~,False,None,1
4,0,!quant!,!quant!,True,None,1
5,0,!quant!,74.88787388801575,,None,1
0,0,!liste!,1065,,None,1
1,0,!liste!,0.9820377954666717,True,None,1
2,0,!liste!,0.8709333189485639,True,None,1
3,0,!liste!,!list!~~~~,True,None,1
4,0,!liste!,!liste!,True,None,1
5,0,!liste!,49.49369215965271,,None,1
0,0,!perdre!,1258,,None,1
1,0,!perdre!,0.9919662857545091,True,None,1
2,0,!perdre!,0.9205385690531691,True,None,1
3,0,!perdre!,!pERdR!~~~,True,None,1
4,0,!perdre!,!perdre!,True,None,1
5,0,!perdre!,110.83804535865784,,None,1
0,0,!loupe!,1004,,None,1
1,0,!loupe!,0.9599313807137871,True,None,1
2,0,!loupe!,0.7042281511934153,True,None,1
3,0,!loupe!,!lup!~~~~~,True,None,1
4,0,!loupe!,!loupe!,True,None,1
5,0,!loupe!,105.54334259033203,,None,1
0,0,!chambre!,1145,,None,1
1,0,!chambre!,0.9942113578172165,True,None,1
2,0,!chambre!,0.8784381032758922,True,None,1
3,0,!chambre!,!SabR!~~~~,False,None,1
4,0,!chambre!,!chambre!,True,None,1
5,0,!chambre!,144.18395900726318,,None,1
0,0,!ronde!,875,,None,1
1,0,!ronde!,0.9703236226263653,True,None,1
2,0,!ronde!,0.7668634817635379,True,None,1
3,0,!ronde!,!R&d!~~~~~,True,None,1
4,0,!ronde!,!ronde!,True,None,1
5,0,!ronde!,42.59228467941284,,None,1
0,0,!chose!,859,,None,1
1,0,!chose!,0.9919499895198508,True,None,1
2,0,!chose!,0.8252288115781045,True,None,1
3,0,!chose!,!Soz!~~~~~,True,None,1
4,0,!chose!,!chose!,True,None,1
5,0,!chose!,38.75487565994263,,None,1
0,0,!sève!,738,,None,1
1,0,!sève!,0.9880765781649785,True,None,1
2,0,!sève!,0.7067802636604729,True,None,1
3,0,!sève!,!sEv!~~~~~,True,None,1
4,0,!sève!,!sève!,True,None,1
5,0,!sève!,20.394602060317993,,None,1
0,0,!plaindre!,1316,,None,1
1,0,!plaindre!,0.9890691041777356,True,None,1
2,0,!plaindre!,0.904852581876997,True,None,1
3,0,!plaindre!,!pl5dR!~~~~,True,None,1
4,0,!plaindre!,!plaindre~,False,None,1
5,0,!plaindre!,211.55752825737,,None,1
0,0,!couple!,1110,,None,1
1,0,!couple!,0.9883255632357775,True,None,1
2,0,!couple!,0.86627556320584,True,None,1
3,0,!couple!,!kupl!~~~~,True,None,1
4,0,!couple!,!couple!,True,None,1
5,0,!couple!,87.08136463165283,,None,1
0,0,!sol!,918,,None,1
1,0,!sol!,0.9475232854059473,True,None,1
2,0,!sol!,0.8126394609033758,True,None,1
3,0,!sol!,!sOl!~~~~~,True,None,1
4,0,!sol!,!sol!,True,None,1
5,0,!sol!,14.791444063186646,,None,1
0,0,!lisse!,892,,None,1
1,0,!lisse!,0.9831560998243993,True,None,1
2,0,!lisse!,0.7625246016074518,True,None,1
3,0,!lisse!,!lis!~~~~~,True,None,1
4,0,!lisse!,!lisse!,True,None,1
5,0,!lisse!,39.29968285560608,,None,1
0,0,!glotte!,1042,,None,1
1,0,!glotte!,0.9647329632568938,True,None,1
2,0,!glotte!,0.8245007470402839,True,None,1
3,0,!glotte!,!glOt!~~~~,True,None,1
4,0,!glotte!,!glotte!,True,None,1
5,0,!glotte!,110.01328754425049,,None,1
0,0,!montre!,969,,None,1
1,0,!montre!,0.9851890036792855,True,None,1
2,0,!montre!,0.8370306745738904,True,None,1
3,0,!montre!,!m&tR!~~~~,True,None,1
4,0,!montre!,!montre!,True,None,1
5,0,!montre!,83.90329575538635,,None,1
0,0,!cintre!,1083,,None,1
1,0,!cintre!,0.9642962938064848,True,None,1
2,0,!cintre!,0.8625607332850902,True,None,1
3,0,!cintre!,!s5tR!~~~~,True,None,1
4,0,!cintre!,!cintre!,True,None,1
5,0,!cintre!,103.82255983352661,,None,1
0,0,!rang!,669,,None,1
1,0,!rang!,0.9781177442185937,True,None,1
2,0,!rang!,0.4798284524974828,False,None,1
3,0,!rang!,!R@!~~~~~~,True,None,1
4,0,!rang!,!rang!,True,None,1
5,0,!rang!,23.165997982025146,,None,1
0,0,!âne!,575,,None,1
1,0,!âne!,0.9515091687141266,True,None,1
2,0,!âne!,0.6518209543953787,False,None,1
3,0,!âne!,!an!~~~~~~,True,None,1
4,0,!âne!,!âne!,True,None,1
5,0,!âne!,10.960204601287842,,None,1
0,0,!crue!,809,,None,1
1,0,!crue!,0.9806268636106183,True,None,1
2,0,!crue!,0.8060580342505472,True,None,1
3,0,!crue!,!kRy!~~~~~,True,None,1
4,0,!crue!,!crue!,True,None,1
5,0,!crue!,24.444961547851562,,None,1
0,0,!chair!,865,,None,1
1,0,!chair!,0.9843740811403876,True,None,1
2,0,!chair!,0.8181126480107056,True,None,1
3,0,!chair!,!SER!~~~~~,True,None,1
4,0,!chair!,!chair!,True,None,1
5,0,!chair!,42.69616913795471,,None,1
0,0,!nacre!,1018,,None,1
1,0,!nacre!,0.9902078120470101,True,None,1
2,0,!nacre!,0.8827438426921784,True,None,1
3,0,!nacre!,!nakR!~~~~,True,None,1
4,0,!nacre!,!nacre!,True,None,1
5,0,!nacre!,62.30592489242554,,None,1
0,0,!lèpre!,1141,,None,1
1,0,!lèpre!,0.9767850492107552,True,None,1
2,0,!lèpre!,0.8653741669537255,True,None,1
3,0,!lèpre!,!lEpR!~~~~,True,None,1
4,0,!lèpre!,!lèpre!,True,None,1
5,0,!lèpre!,58.076892137527466,,None,1
0,0,!sobre!,879,,None,1
1,0,!sobre!,0.9826427177273697,True,None,1
2,0,!sobre!,0.8718278268558626,True,None,1
3,0,!sobre!,!sObR!~~~~,True,None,1
4,0,!sobre!,!sobre!,True,None,1
5,0,!sobre!,43.829559326171875,,None,1
0,0,!grotte!,1003,,None,1
1,0,!grotte!,0.9894981468079498,True,None,1
2,0,!grotte!,0.8690318980112042,True,None,1
3,0,!grotte!,!gROt!~~~~,True,None,1
4,0,!grotte!,!grotte!,True,None,1
5,0,!grotte!,76.38002967834473,,None,1
0,0,!doué!,973,,None,1
1,0,!doué!,0.9538326398567297,True,None,1
2,0,!doué!,0.8173783921030968,True,None,1
3,0,!doué!,!dwe!~~~~~,True,None,1
4,0,!doué!,!doué!,True,None,1
5,0,!doué!,30.811806440353394,,None,1
0,0,!gag!,1401,,None,1
1,0,!gag!,0.9202890533593205,True,None,1
2,0,!gag!,0.8120587352204603,True,None,1
3,0,!gag!,!gag!~~~~~,True,None,1
4,0,!gag!,!gag!,True,None,1
5,0,!gag!,24.183818340301514,,None,1
0,0,!flux!,762,,None,1
1,0,!flux!,0.9808465594881156,True,None,1
2,0,!flux!,0.7857500387016776,True,None,1
3,0,!flux!,!fly!~~~~~,True,None,1
4,0,!flux!,!flux!,True,None,1
5,0,!flux!,23.422433376312256,,None,1
0,0,!taxe!,1672,,None,1
1,0,!taxe!,0.960222967206599,True,None,1
2,0,!taxe!,0.846894666805462,True,None,1
3,0,!taxe!,!taks!~~~~,True,None,1
4,0,!taxe!,!taxe!,True,None,1
5,0,!taxe!,48.75118088722229,,None,1
0,0,!mule!,867,,None,1
1,0,!mule!,0.9760285623241203,True,None,1
2,0,!mule!,0.7076383740992002,True,None,1
3,0,!mule!,!myl!~~~~~,True,None,1
4,0,!mule!,!mule!,True,None,1
5,0,!mule!,24.967307567596436,,None,1
0,0,!pauvre!,1035,,None,1
1,0,!pauvre!,0.992566062211879,True,None,1
2,0,!pauvre!,0.886097964177673,True,None,1
3,0,!pauvre!,!povR!~~~~,True,None,1
4,0,!pauvre!,!pauvre!,True,None,1
5,0,!pauvre!,86.40110564231873,,None,1
0,0,!pleur!,1125,,None,1
1,0,!pleur!,0.9849952529120631,True,None,1
2,0,!pleur!,0.8716053104926623,True,None,1
3,0,!pleur!,!pl9R!~~~~,True,None,1
4,0,!pleur!,!pleur!,True,None,1
5,0,!pleur!,56.16825580596924,,None,1
0,0,!perche!,1033,,None,1
1,0,!perche!,0.9789426615690942,True,None,1
2,0,!perche!,0.8179144544165678,True,None,1
3,0,!perche!,!pERS!~~~~,True,None,1
4,0,!perche!,!perche!,True,None,1
5,0,!perche!,85.12810897827148,,None,1
0,0,!type!,845,,None,1
1,0,!type!,0.9948304435367494,True,None,1
2,0,!type!,0.8130923304100813,True,None,1
3,0,!type!,!tip!~~~~~,True,None,1
4,0,!type!,!type!,True,None,1
5,0,!type!,28.04260778427124,,None,1
0,0,!brin!,1171,,None,1
1,0,!brin!,0.028942971084804255,True,None,1
2,0,!brin!,0.5371788035751823,True,None,1
3,0,!brin!,!bRi!~~~~~,False,None,1
4,0,!brin!,!brin!,True,None,1
5,0,!brin!,36.49443554878235,,None,1
0,0,!oeil!,742,,None,1
1,0,!oeil!,0.9892359320279372,True,None,1
2,0,!oeil!,0.7711105251050531,True,None,1
3,0,!oeil!,!9j!~~~~~~,True,None,1
4,0,!oeil!,!oeil!,True,None,1
5,0,!oeil!,24.95176362991333,,None,1
0,0,!pneu!,976,,None,1
1,0,!pneu!,0.9924762964117013,True,None,1
2,0,!pneu!,0.8428476728279979,True,None,1
3,0,!pneu!,!pn2!~~~~~,True,None,1
4,0,!pneu!,!pneu!,True,None,1
5,0,!pneu!,30.782893896102905,,None,1
0,0,!onde!,747,,None,1
1,0,!onde!,0.9805214525622152,True,None,1
2,0,!onde!,0.7325343372190132,True,None,1
3,0,!onde!,!&d!~~~~~~,True,None,1
4,0,!onde!,!onde!,True,None,1
5,0,!onde!,21.76949429512024,,None,1
0,0,!dix!,974,,None,1
1,0,!dix!,0.9857951918754762,True,None,1
2,0,!dix!,0.83466280743897,True,None,1
3,0,!dix!,!dis!~~~~~,True,None,1
4,0,!dix!,!dix!,True,None,1
5,0,!dix!,15.861895322799683,,None,1
0,0,!jeune!,918,,None,1
1,0,!jeune!,0.9863290865863753,True,None,1
2,0,!jeune!,0.8314177739854492,True,None,1
3,0,!jeune!,!Z9n!~~~~~,True,None,1
4,0,!jeune!,!jeune!,True,None,1
5,0,!jeune!,44.789225816726685,,None,1
0,0,!coude!,908,,None,1
1,0,!coude!,0.9780757813096588,True,None,1
2,0,!coude!,0.792789061707831,True,None,1
3,0,!coude!,!kud!~~~~~,True,None,1
4,0,!coude!,!coude!,True,None,1
5,0,!coude!,45.595215797424316,,None,1
0,0,!mûr!,704,,None,1
1,0,!mûr!,0.029125715525188313,True,None,1
2,0,!mûr!,0.8089018237293844,False,None,1
3,0,!mûr!,!myR!~~~~~,False,None,1
4,0,!mûr!,!mûr!,True,None,1
5,0,!mûr!,11.596667289733887,,None,1
0,0,!paume!,956,,None,1
1,0,!paume!,0.975357064068669,True,None,1
2,0,!paume!,0.7843651256830537,True,None,1
3,0,!paume!,!pom!~~~~~,True,None,1
4,0,!paume!,!paume!,True,None,1
5,0,!paume!,45.93507266044617,,None,1
0,0,!os!,670,,None,1
1,0,!os!,0.9635902806708352,True,None,1
2,0,!os!,0.7672270629810216,True,None,1
3,0,!os!,!Os!~~~~~~,True,None,1
4,0,!os!,!os!,True,None,1
5,0,!os!,8.568298816680908,,None,1
0,0,!pois!,997,,None,1
1,0,!pois!,0.9209735010951785,True,None,1
2,0,!pois!,0.46594737739102327,False,None,1
3,0,!pois!,!pwa!~~~~~,True,None,1
4,0,!pois!,!pois!,True,None,1
5,0,!pois!,27.831215620040894,,None,1
0,0,!boue!,1105,,None,1
