num,t,word,value,success,error_type,test
0,0,!ify!,3000,,None,1
1,0,!ify!,0.9417012148211845,False,None,1
2,0,!ify!,0.8622557570242105,False,None,1
3,0,!ify!,!ify!,True,None,1
4,0,!ify!,!issue!~~,False,None,1
5,0,!ify!,186.89852857589722,,None,1
0,0,!gaziloR!,3000,,None,1
1,0,!gaziloR!,0.9971308301345498,False,None,1
2,0,!gaziloR!,0.9081158701545521,False,None,1
3,0,!gaziloR!,!gaziloR!,True,None,1
4,0,!gaziloR!,!basilique!,False,None,1
5,0,!gaziloR!,859.0744354724884,,None,1
0,0,!R°R&!,3000,,None,1
1,0,!R°R&!,0.9008883855380956,False,None,1
2,0,!R°R&!,0.5889225536726237,True,None,1
3,0,!R°R&!,!R°R&!,True,None,1
4,0,!R°R&!,!renom!~~~~,False,None,1
5,0,!R°R&!,347.8752703666687,,None,1
0,0,!ERde!,3000,,None,1
1,0,!ERde!,0.8320361400530343,False,None,1
2,0,!ERde!,0.1779103915107939,True,None,1
3,0,!ERde!,!ERde!,True,None,1
4,0,!ERde!,!arrue!!~~~,False,None,1
5,0,!ERde!,489.2805812358856,,None,1
0,0,!stog!,1145,,None,1
1,0,!stog!,0.8918397465154695,False,None,1
2,0,!stog!,0.12375761950002168,True,None,1
3,0,!stog!,!stog!,True,None,1
4,0,!stog!,!stone!~~~~,False,None,1
5,0,!stog!,140.48020553588867,,None,1
0,0,!EN!,3000,,None,1
1,0,!EN!,0.9145490590260175,False,None,1
2,0,!EN!,0.2873121558878913,True,None,1
3,0,!EN!,!EN!,True,None,1
4,0,!EN!,!ai~e!~~,False,None,1
5,0,!EN!,83.51742696762085,,None,1
0,0,!tEnbe!,3000,,None,1
1,0,!tEnbe!,0.9497517318521829,False,None,1
2,0,!tEnbe!,0.3500627657261008,True,None,1
3,0,!tEnbe!,!tEnbe!,True,None,1
4,0,!tEnbe!,!terrier!~~,False,None,1
5,0,!tEnbe!,669.8187806606293,,None,1
0,0,!sty!,3000,,None,1
1,0,!sty!,0.656977415934487,False,None,1
2,0,!sty!,0.16008485165919387,True,None,1
3,0,!sty!,!sty!,True,None,1
4,0,!sty!,!sou~!~~~,False,None,1
5,0,!sty!,191.4239547252655,,None,1
0,0,!aRle!,3000,,None,1
1,0,!aRle!,0.9267769890734759,False,None,1
2,0,!aRle!,0.6167295644872618,True,None,1
3,0,!aRle!,!aRle!,True,None,1
4,0,!aRle!,!arquer!~~~,False,None,1
5,0,!aRle!,404.08472990989685,,None,1
0,0,!RizER!,3000,,None,1
1,0,!RizER!,0.9460920916195104,False,None,1
2,0,!RizER!,0.5965104481670148,True,None,1
3,0,!RizER!,!RizER!,True,None,1
4,0,!RizER!,!risette!~~,False,None,1
5,0,!RizER!,631.3179142475128,,None,1
0,0,!otilet°!,3000,,None,1
1,0,!otilet°!,0.9571783423891373,False,None,1
2,0,!otilet°!,0.8712942381472547,False,None,1
3,0,!otilet°!,!otilet°!,True,None,1
4,0,!otilet°!,!utilité!~~,False,None,1
5,0,!otilet°!,888.504801273346,,None,1
0,0,!vERvEtR!,3000,,None,1
1,0,!vERvEtR!,0.9972479565052448,False,None,1
2,0,!vERvEtR!,0.938202133130616,False,None,1
3,0,!vERvEtR!,!vERvEtR!,True,None,1
4,0,!vERvEtR!,!permettre!,False,None,1
