"","x"
"1","&"
"2","@"
"3","2"
"4","5"
"5","a"
"6","ak"
"7","al"
"8","aR"
"9","as"
"10","b&"
"11","b@"
"12","b°"
"13","ba"
"14","baR"
"15","be"
"16","beR"
"17","bi"
"18","bl°"
"19","ble"
"20","bo"
"21","bR°"
"22","bRa"
"23","bRe"
"24","bRi"
"25","bRy"
"26","bu"
"27","by"
"28","d@"
"29","d°"
"30","d2R"
"31","d5"
"32","da"
"33","de"
"34","di"
"35","dis"
"36","dja"
"37","do"
"38","dR°"
"39","du"
"40","dy"
"41","e"
"42","eks"
"43","el"
"44","es"
"45","f&"
"46","f@"
"47","f°"
"48","fa"
"49","fe"
"50","feR"
"51","fi"
"52","fje"
"53","fle"
"54","fo"
"55","foR"
"56","fRe"
"57","fRi"
"58","fu"
"59","fuR"
"60","fy"
"61","g@"
"62","g°"
"63","ga"
"64","gaR"
"65","ge"
"66","gi"
"67","go"
"68","gR°"
"69","gRa"
"70","gRe"
"71","gRi"
"72","gu"
"73","gy"
"74","i"
"75","j&"
"76","j@"
"77","j°"
"78","ja"
"79","je"
"80","jo"
"81","k&"
"82","k@"
"83","k°"
"84","k5"
"85","k8i"
"86","ka"
"87","kal"
"88","kaR"
"89","ke"
"90","ki"
"91","kla"
"92","kle"
"93","klo"
"94","ko"
"95","koR"
"96","kR°"
"97","kRa"
"98","kRe"
"99","kRi"
"100","kRo"
"101","ksi"
"102","ku"
"103","kuR"
"104","ky"
"105","l&"
"106","l@"
"107","l°"
"108","l2"
"109","l5"
"110","la"
"111","laR"
"112","le"
"113","li"
"114","lje"
"115","lo"
"116","lu"
"117","ly"
"118","m&"
"119","m@"
"120","m°"
"121","m5"
"122","ma"
"123","maR"
"124","me"
"125","meR"
"126","mi"
"127","mo"
"128","moR"
"129","mu"
"130","mwa"
"131","my"
"132","n&"
"133","n@"
"134","n°"
"135","N°"
"136","na"
"137","nal"
"138","naR"
"139","ne"
"140","Ne"
"141","ni"
"142","niR"
"143","nje"
"144","no"
"145","nu"
"146","ny"
"147","o"
"148","oR"
"149","p&"
"150","p@"
"151","p°"
"152","p5"
"153","pa"
"154","paR"
"155","pe"
"156","peR"
"157","pi"
"158","pje"
"159","pla"
"160","ple"
"161","pli"
"162","po"
"163","poR"
"164","pRe"
"165","pRi"
"166","pRo"
"167","pu"
"168","pwa"
"169","py"
"170","R&"
"171","R@"
"172","R°"
"173","R2"
"174","R5"
"175","Ra"
"176","Ral"
"177","Re"
"178","Ri"
"179","RiR"
"180","Rje"
"181","Ro"
"182","Ru"
"183","Ry"
"184","s&"
"185","s@"
"186","S@"
"187","s°"
"188","S°"
"189","s2R"
"190","s5"
"191","sa"
"192","Sa"
"193","SaR"
"194","se"
"195","Se"
"196","seR"
"197","si"
"198","Si"
"199","sj&"
"200","sje"
"201","so"
"202","So"
"203","su"
"204","sy"
"205","syR"
"206","t&"
"207","t@"
"208","t°"
"209","t2R"
"210","t5"
"211","ta"
"212","tal"
"213","taR"
"214","te"
"215","teR"
"216","ti"
"217","tif"
"218","tiR"
"219","tje"
"220","to"
"221","toR"
"222","tR@"
"223","tR°"
"224","tRa"
"225","tRe"
"226","tRi"
"227","tRo"
"228","tRu"
"229","tu"
"230","tuR"
"231","twa"
"232","ty"
"233","u"
"234","v@"
"235","v°"
"236","va"
"237","ve"
"238","veR"
"239","vi"
"240","vo"
"241","vR°"
"242","vwa"
"243","y"
"244","z&"
"245","z@"
"246","Z@"
"247","z°"
"248","Z°"
"249","za"
"250","Za"
"251","ze"
"252","Ze"
"253","zi"
"254","Zi"
"255","zj&"
"256","zje"
"257","zo"
"258","Zo"
"259","Zu"
"260","Zy"
"261","#"
