"char","idx","ipa","type","Examples"
"p",0,"p","consonant","père, soupe "
"b",1,"b","consonant","bon, robe "
"t",2,"t","consonant","terre, vite"
"d",3,"d","consonant","dans, aide"
"k",4,"k","consonant","carré, laque "
"g",5,"g","consonant","gare, bague "
"m",6,"m","consonant","main, femme "
"n",7,"n","consonant","nous, tonne "
"N",8,"ŋ","consonant","agneau, vigne "
"R",9,"ʁ","consonant","rue, venir "
"f",10,"f","consonant","feu, neuf "
"v",11,"v","consonant","vous, rêve "
"s",12,"s","consonant","sale, dessous "
"z",13,"z","consonant","zéro, maison "
"S",14,"ʃ","consonant","chat, tâche "
"Z",15,"ʒ","consonant","gilet, mijoter "
"j",16,"j","Semi-vowel","yeux, paille "
"l",17,"l","consonant","liquide"
"G",18,"ng","consonant","camping (en)"
"w",19,"w","Semi-vowel","oui, nouer "
"i",20,"i","vowel","lit, émis "
"e",21,"e","vowel","été "
"E",22,"è","vowel","paie, taie, sait"
"a",23,"a","vowel","bat, plat "
"y",24,"y","vowel","lu "
"u",25,"u","vowel","roue "
2,26,"ø","vowel","deux "
9,27, "œ", "vowel", "oeuf"
"°",28,"ə","vowel","abordera"
"o",29,"o","vowel","peau, mot "
"O",30,"ɔ","vowel","botte "
5,31,"ɛ̃","vowel","cinq, linge "
"@",32,"ɑ̃","vowel","ange "
"&",33,"ɔ̃","vowel","on, savon "
"#",34,"#","end","end"
"!",35,"!","positional cue",""
