id,word,freq,len,,,
0,aas,0.0196,3,,,
1,aback,0.2941,5,,,
2,abaft,0.0392,5,,,
3,abase,0.0392,5,,,
4,abate,0.098,5,,,
5,abates,0.0392,6,,,
6,abbess,0.0196,6,,,
7,abbey,0.8824,5,,,
8,abbot,0.3529,5,,,
9,abduct,0.7059,6,,,
10,abeam,0.1373,5,,,
11,abed,0.1176,4,,,
12,abet,0.098,4,,,
13,abhor,0.2353,5,,,
14,abhorred,0.1373,8,,,
15,abhors,0.0784,6,,,
16,abide,2.6078,5,,,
17,abides,0.0784,6,,,
18,abject,0.3333,6,,,
19,abjure,0.0196,6,,,
20,ablaze,0.3922,6,,,
21,able,157.8039,4,,,
22,abler,0.0196,5,,,
23,ablest,0.0392,6,,,
24,ably,0.1765,4,,,
25,abo,0.098,3,,,
26,aboard,26.1765,6,,,
27,abode,0.6471,5,,,
28,abort,2.2941,5,,,
29,aborts,0.0196,6,,,
30,abound,0.3529,6,,,
31,abounds,0.1961,7,,,
32,about,3528.6667,5,,,
33,above,46.0784,5,,,
34,abrade,0.0196,6,,,
35,abreast,0.5098,7,,,
36,abridge,0.0196,7,,,
37,abridged,0.1373,8,,,
38,abroad,4.8627,6,,,
39,abrupt,1.0979999999999999,6,,,
40,abscess,0.451,7,,,
41,abscond,0.098,7,,,
42,absence,6.1569,7,,,
43,absent,2.2941,6,,,
44,absolve,0.5294,7,,,
45,absolved,0.2941,8,,,
46,absolves,0.0784,8,,,
47,absorb,1.9412,6,,,
48,absorbed,1.4509999999999998,8,,,
49,absorbs,0.4706,7,,,
50,abstain,0.3529,7,,,
51,abstained,0.0784,9,,,
52,abstract,2.0392,8,,,
53,abstracts,0.098,9,,,
54,abstruse,0.0588,8,,,
55,absurd,9.1569,6,,,
56,abuse,9.8627,5,,,
57,abused,4.4314,6,,,
58,abyss,1.5098,5,,,
59,accede,0.1373,6,,,
60,accent,11.6667,6,,,
61,accents,1.1176,7,,,
62,accept,50.9412,6,,,
63,accepts,2.0784,7,,,
64,access,29.0784,6,,,
65,acclaim,0.4314,7,,,
66,acclaimed,0.3922,9,,,
67,acclaims,0.0392,8,,,
68,accord,1.5098,6,,,
69,accords,0.1569,7,,,
70,accost,0.0588,6,,,
71,accosts,0.0196,7,,,
72,account,44.1765,7,,,
73,accounts,10.2157,8,,,
74,accrue,0.0784,6,,,
75,accrued,0.2353,7,,,
76,accrues,0.0196,7,,,
77,accuse,5.5098,6,,,
78,accused,12.8431,7,,,
79,ace,7.0,3,,,
80,aced,0.6471,4,,,
81,aces,2.5882,4,,,
82,ache,2.451,4,,,
83,ached,0.2941,5,,,
84,aches,1.5098,5,,,
85,achieve,7.3137,7,,,
86,achieved,4.2157,8,,,
87,achieves,0.3137,8,,,
88,aching,2.0196,6,,,
89,acid,9.1373,4,,,
90,acids,0.8039,5,,,
91,acne,0.8824,4,,,
92,acorn,0.5686,5,,,
93,acorns,0.1765,6,,,
94,acquaint,0.3333,8,,,
95,acquit,0.451,6,,,
96,acre,1.3137,4,,,
97,acres,3.6275,5,,,
98,acrid,0.0392,5,,,
99,across,89.7451,6,,,
100,act,100.0,3,,,
101,acted,10.6078,5,,,
102,acting,49.6667,6,,,
103,action,53.8824,6,,,
104,actions,11.8039,7,,,
105,active,10.8627,6,,,
106,actor,25.3529,5,,,
107,actors,11.097999999999999,6,,,
108,actress,15.3529,7,,,
109,acts,12.0392,4,,,
110,actual,16.8431,6,,,
111,acute,2.5686,5,,,
112,ad,12.3529,2,,,
113,adage,0.6275,5,,,
114,adam,0.0784,4,,,
115,adapt,2.4314,5,,,
116,adapts,0.0588,6,,,
117,add,27.901999999999997,3,,,
118,added,9.4902,5,,,
119,adder,0.1569,5,,,
120,addict,5.3529,6,,,
121,addicts,1.8824,7,,,
122,adding,3.8039,6,,,
123,addled,0.2157,6,,,
124,address,50.4118,7,,,
125,addressed,3.7059,9,,,
126,adds,3.7843,4,,,
127,adduce,0.0196,6,,,
128,adduced,0.0196,7,,,
129,adept,0.6471,5,,,
130,adepts,0.0392,6,,,
131,adhere,0.5686,6,,,
132,adhered,0.1176,7,,,
133,adheres,0.0588,7,,,
134,adieu,1.2941,5,,,
135,adjoins,0.098,7,,,
136,adjourn,1.2941,7,,,
137,adjourned,4.1373,9,,,
138,adjourns,0.0392,8,,,
139,adjudge,0.0196,7,,,
140,adjudged,0.0588,8,,,
141,adjunct,0.1176,7,,,
142,adjust,4.9608,6,,,
143,adjusts,0.1569,7,,,
144,adly,0.0392,4,,,
145,admit,53.4706,5,,,
146,admits,2.0196,6,,,
147,ado,1.4314,3,,,
148,adopt,4.5882,5,,,
149,adopts,0.2157,6,,,
150,adore,7.5686,5,,,
151,adored,2.4118,6,,,
152,adores,1.7843,6,,,
153,adorn,0.1569,5,,,
154,adorned,0.1373,7,,,
155,adorns,0.0588,6,,,
156,adrift,0.9216,6,,,
157,adroit,0.098,6,,,
158,ads,4.7451,3,,,
159,adult,13.7059,5,,,
160,adults,9.1765,6,,,
161,advance,14.7451,7,,,
162,advanced,8.0784,8,,,
163,advent,0.3137,6,,,
164,adverb,0.1176,6,,,
165,adverbs,0.0784,7,,,
166,adverse,0.6863,7,,,
167,advert,0.2353,6,,,
168,adverts,0.0588,7,,,
169,advice,47.3137,6,,,
170,advise,11.3137,6,,,
171,advised,5.2353,7,,,
172,aegis,0.0392,5,,,
173,aeons,0.0196,5,,,
174,aerial,2.2941,6,,,
175,aerials,0.1569,7,,,
176,aesthete,0.1176,8,,,
177,aesthetes,0.0196,9,,,
178,afar,1.1176,4,,,
179,affair,28.7647,6,,,
180,affairs,10.8824,7,,,
181,affect,11.097999999999999,6,,,
182,affects,4.7451,7,,,
183,affirm,0.2941,6,,,
184,affirmed,0.1373,8,,,
185,affirms,0.0392,7,,,
186,affix,0.0784,5,,,
187,affixed,0.0196,7,,,
188,afflict,0.0784,7,,,
189,afflicts,0.0588,8,,,
190,affluence,0.1176,9,,,
191,affluent,0.2941,8,,,
192,afford,44.2941,6,,,
193,affords,0.2745,7,,,
194,affront,0.5882,7,,,
195,afghan,0.1569,6,,,
196,afghans,0.0392,7,,,
197,afield,0.1176,6,,,
198,aflame,0.3137,6,,,
199,afloat,1.5294,6,,,
200,afoot,1.0,5,,,
201,afore,0.3529,5,,,
202,afraid,238.5686,6,,,
203,afresh,0.2353,6,,,
204,afro,0.3333,4,,,
205,afros,0.0392,5,,,
206,aft,3.0588,3,,,
207,after,538.4118,5,,,
208,afters,0.0588,6,,,
209,again,767.5294,5,,,
210,against,195.6275,7,,,
211,agate,0.0392,5,,,
212,agates,0.0196,6,,,
213,age,73.9608,3,,,
214,aged,3.1961,4,,,
215,ageing,0.3333,6,,,
216,ageless,0.2941,7,,,
217,agent,49.3922,5,,,
218,agents,19.1961,6,,,
219,ages,9.1765,4,,,
220,aggrieved,0.1765,9,,,
221,aggro,0.0196,5,,,
222,aghast,0.1373,6,,,
223,agile,0.3529,5,,,
224,agin,0.4118,4,,,
225,aglow,0.451,5,,,
226,ago,285.8824,3,,,
227,agog,0.1176,4,,,
228,agree,64.098,5,,,
229,agreed,31.3333,6,,,
230,agrees,4.2549,6,,,
231,aground,0.4902,7,,,
232,ague,0.0392,4,,,
233,ah,14.7059,2,,,
234,aha,0.5686,3,,,
235,ahead,197.0392,5,,,
236,ahoy,0.6078,4,,,
237,aid,12.0196,3,,,
238,aide,1.7059,4,,,
239,aided,0.5882,5,,,
240,aides,0.6275,5,,,
241,aiding,0.7059,6,,,
242,aids,0.8039,4,,,
243,aight,0.0196,5,,,
244,ail,0.2157,3,,,
245,ailed,0.0392,5,,,
246,ailing,0.5098,6,,,
247,ailment,0.5098,7,,,
248,ailments,0.6078,8,,,
249,ails,0.7647,4,,,
250,aim,11.2941,3,,,
251,aimed,1.9216,5,,,
252,aiming,3.7255,6,,,
253,aimless,0.2549,7,,,
254,aims,1.0784,4,,,
255,air,118.098,3,,,
256,airbase,0.098,7,,,
257,airborne,3.3137,8,,,
258,aircraft,8.4902,8,,,
259,aircrew,0.0196,7,,,
260,airdrome,0.0392,8,,,
261,airdrop,0.0392,7,,,
262,aired,0.8824,5,,,
263,airedale,0.0196,8,,,
264,airfield,1.6863,8,,,
265,airfields,0.1373,9,,,
266,airflow,0.098,7,,,
267,airforce,0.1176,8,,,
268,airing,0.6275,6,,,
269,airless,0.098,7,,,
270,airlift,0.1961,7,,,
271,airline,6.098,7,,,
272,airlines,1.2941,8,,,
273,airlock,0.7255,7,,,
274,airlocks,0.0196,8,,,
275,airmail,0.2745,7,,,
276,airman,0.1765,6,,,
277,airmen,0.6078,6,,,
278,airplane,9.9412,8,,,
279,airplanes,2.9608,9,,,
280,airport,33.5294,7,,,
281,airports,1.3137,8,,,
282,airs,0.7255,4,,,
283,airship,0.5882,7,,,
284,airships,0.0588,8,,,
285,airsick,0.2941,7,,,
286,airspace,1.5882,8,,,
287,airspeed,0.3529,8,,,
288,airstay,0.0196,7,,,
289,airstrip,1.0784,8,,,
290,airstrips,0.0588,9,,,
291,airtight,1.0196,8,,,
292,airway,1.4118,6,,,
293,airways,0.2549,7,,,
294,airy,0.3137,4,,,
295,aisle,6.7255,5,,,
296,aisles,0.7255,6,,,
297,aive,0.0392,4,,,
298,ajar,0.451,4,,,
299,akes,0.0196,4,,,
300,akin,0.2549,4,,,
301,al,2.8235,2,,,
302,alack,0.0588,5,,,
303,alarm,27.8824,5,,,
304,alarmed,2.9412,7,,,
305,alarms,2.9804,6,,,
306,alas,1.0392,4,,,
307,album,9.5686,5,,,
308,albums,2.3137,6,,,
309,alcove,0.3137,6,,,
310,alcoves,0.0392,7,,,
311,alder,0.0392,5,,,
312,alders,0.0588,6,,,
313,ale,3.5882,3,,,
314,alehouse,0.0196,8,,,
315,alert,17.2941,5,,,
316,alerts,0.2549,6,,,
317,ales,0.098,4,,,
318,algae,0.3922,5,,,
319,alias,2.8039,5,,,
320,alien,15.450999999999999,5,,,
321,aliens,8.4902,6,,,
322,alight,0.3922,6,,,
323,align,0.6667,5,,,
324,aligned,0.7647,7,,,
325,aligns,0.098,6,,,
326,alike,11.3333,5,,,
327,alive,151.2549,5,,,
328,alks,0.0196,4,,,
329,all,3788.6275,3,,,
330,allah,0.0196,5,,,
331,allay,0.3137,5,,,
332,allayed,0.0784,7,,,
333,allays,0.0196,6,,,
334,allege,0.2157,6,,,
335,alleged,3.8039,7,,,
336,alley,14.0784,5,,,
337,alleys,1.1373,6,,,
338,allied,0.8627,6,,,
339,allies,3.1569,6,,,
340,allot,0.1569,5,,,
341,allots,0.0196,6,,,
342,allow,36.0784,5,,,
343,allowed,44.6667,7,,,
344,allows,5.4314,6,,,
345,alloy,0.9804,5,,,
346,alloys,0.2157,6,,,
