word,freq
abaissa,"2,64"
abaissait,"2,5"
abaissant,"2,77"
abaisse,5
abaissement,"2,16"
abaisser,"2,91"
abaissez,"0,07"
abandon,"25,2"
abandonna,"8,92"
abandonnai,"2,16"
abandonnaient,"1,55"
abandonnais,"1,49"
abandonnait,"9,46"
abandonnant,"9,93"
abandonne,"47,91"
abandonnee,"17,9"
abandonnees,"5,67"
abandonnent,"2,64"
abandonner,"27,7"
abandonnera,"0,81"
abandonnerai,"0,41"
abandonnerais,"0,27"
abandonnerent,"1,42"
abandonnes,"9,8"
abandonnez,"0,88"
abandons,"2,16"
abasourdi,"4,12"
abat,"5,13"
abatis,"0,88"
abats,"1,35"
abattage,"1,15"
abattaient,"2,36"
abattait,"3,45"
abattant,"2,5"
abattement,"2,36"
abattent,"2,03"
abattis,"1,35"
abattit,"5,07"
abattoir,"2,36"
abattoirs,"2,3"
abattra,"0,61"
abattraient,"0,07"
abattrait,"0,41"
abattre,"14,32"
abattront,"0,07"
abattu,"12,43"
abattue,"3,98"
abattus,"3,71"
abbaye,"3,31"
abbe,"31,28"
abbes,"1,22"
abces,"3,31"
abdication,"1,82"
abdomen,"1,55"
abeille,"3,18"
abeilles,"6,69"
aberrant,"1,28"
aberration,"3,31"
aberrations,"1,15"
abeti,"0,61"
abetir,"0,54"
abetis,"0,14"
abhorrant,"0,07"
abhorre,"0,47"
abima,"0,74"
abimaient,"0,2"
abimait,"1,22"
abime,"21,48"
abimee,"1,76"
abimer,"5,95"
abimeras,"0,14"
abimes,"7,56"
abimez,"0,2"
abject,"1,69"
abjecte,"1,49"
abjection,"2,16"
abjurer,"0,68"
ablation,"1,28"
ablations,"0,07"
ablutions,"1,42"
abnegation,"3,58"
aboie,"2,03"
aboiement,"2,36"
aboiements,"3,58"
abois,"2,7"
aboli,"2,7"
abolir,"2,97"
abolis,"0,82"
abolit,"1,28"
abolition,"1,49"
abominable,"8,99"
abominables,"2,23"
abomination,"3,04"
abominations,"1,49"
abomine,"0,41"
abondaient,"1,42"
abondamment,"4,93"
abondance,"9,39"
abondant,"1,49"
abondante,"3,45"
abondantes,"1,22"
abonnement,"1,55"
abonnes,"1,69"
abord,"7,3"
aborda,"3,99"
abordage,"1,42"
abordages,"0,07"
abordaient,"1,28"
abordait,"2,5"
abordant,"1,42"
aborde,"5,47"
aborder,"12,91"
abords,"11,76"
abouti,"2,98"
aboutie,"0,07"
aboutir,"9,8"
aboutissaient,"1,15"
aboutissait,"2,5"
aboutissant,"1,29"
aboutissement,"4,05"
aboutissent,"1,49"
aboutit,"3,45"
aboya,"1,42"
aboyait,"1,55"
aboyant,"1,42"
aboyer,"3,04"
aboyeurs,"0,41"
abracadabra,"0,27"
abrege,"1,28"
abreger,"1,82"
abreuve,"1,08"
abreuver,"2,09"
abreuvoir,"3,24"
abri,"51,08"
abricot,"1,83"
abricots,"1,35"
abris,"5,68"
abritaient,"1,49"
abritait,"4,53"
abritant,"1,82"
abrite,"6,49"
abritee,"1,49"
abritent,"1,15"
abriter,"6,96"
abrites,"1,15"
abritez,"0,2"
abrupt,"2,57"
abrupte,"2,84"
abruptement,"2,03"
abruptes,"1,55"
abruti,"9,19"
abrutir,"0,95"
abrutis,"4,25"
abrutissement,"1,42"
abrutissions,"0,07"
absence,"72,5"
absences,"3,78"
absent,"20,34"
absentait,"1,15"
absentant,"0,07"
absente,"9,74"
absenter,"1,49"
absentes,"0,07"
absents,"6,76"
abside,"1,55"
absinthe,"2,91"
absolu,"23,45"
absolue,"16,15"
absolues,"1,01"
absolument,"63,45"
absolution,"2,5"
absolutisme,"0,68"
absorba,"2,03"
absorbait,"3,11"
absorbante,"0,27"
absorbe,"13,52"
absorbee,"2,91"
absorber,"4,53"
absorbes,"2,16"
absorption,"1,89"
absoudre,"1,55"
absous,"1,76"
absoute,"0,28"
abstenir,"2,77"
abstention,"1,28"
abstenu,"0,81"
abstenus,"0,14"
abstinence,"1,42"
abstraction,"2,09"
abstractions,"0,88"
abstrait,"6,22"
abstraite,5
abstraites,"1,75"
abstraits,"2,1"
absurde,"29,53"
absurdement,"3,72"
absurdes,"6,35"
absurdite,"5,54"
abus,"8,58"
abusait,"1,82"
abuse,"4,73"
abuser,"4,12"
abusez,"0,34"
abusivement,"1,15"
acabit,"1,55"
acacia,"3,24"
acacias,"3,11"
academie,"8,31"
academies,"1,15"
academique,"0,61"
academiques,"0,54"
acajou,"7,43"
acariatre,"1,22"
accablaient,"1,42"
accablait,"3,11"
accablant,"2,16"
accablante,"2,43"
accablat,"0,07"
accable,"9,59"
accablee,"3,31"
accablement,"3,58"
accablent,"0,74"
accabler,"3,58"
accables,"1,9"
accalmie,"2,97"
accedait,"2,7"
accede,"2,16"
acceder,"5,81"
accelera,"1,96"
accelerait,"2,64"
accelerant,"1,08"
accelerateur,"3,52"
acceleration,"2,64"
accelere,"7,36"
acceleree,"2,23"
accelerer,"2,91"
accent,"38,31"
accents,"7,23"
accentua,"1,96"
accentuai,"0,07"
accentuaient,"1,22"
accentuait,"4,05"
accentuant,"1,76"
accentuat,"0,07"
accentuation,"0,14"
accentue,"1,76"
accentuer,"2,03"
accepta,"10,54"
acceptable,"3,51"
acceptai,"3,38"
acceptaient,"2,91"
acceptais,"3,99"
acceptait,10
acceptant,"3,11"
acceptat,"1,42"
acceptation,"4,19"
accepte,"45,81"
acceptee,"3,24"
acceptent,"3,24"
accepter,"36,62"
acceptera,"1,96"
accepterai,"1,22"
accepterais,"1,96"
accepterait,"4,05"
accepterez,"0,2"
accepteriez,"0,54"
accepteront,"0,2"
acceptes,"1,28"
acceptez,"2,16"
acceptiez,"0,54"
acceptions,"1,55"
acceptons,"0,95"
acces,"23,78"
accessible,"4,12"
accessibles,"1,62"
accession,"1,22"
accessoire,"2,09"
accessoires,"8,04"
accident,"36,62"
accidentel,"1,42"
accidentelle,"1,28"
accidentes,"0,34"
accidents,"8,18"
acclamations,"4,39"
acclame,"1,28"
acclamer,"1,01"
acclimate,"0,2"
acclimatement,"0,14"
acclimater,"1,08"
accolade,"1,69"
accolent,"0,07"
accommodaient,"1,15"
accommodait,"2,23"
accommode,"1,96"
accommoder,"4,26"
accompagna,"9,46"
accompagnai,"1,28"
accompagnaient,"4,73"
accompagnais,"1,76"
accompagnait,"15,68"
accompagnant,"5,27"
accompagne,"37,24"
accompagnee,"10,13"
accompagnees,"2,1"
accompagnement,"2,5"
accompagnent,"4,05"
accompagner,"22,23"
accompagnera,"0,61"
accompagnerai,"0,61"
accompagnerait,"1,22"
accompagnes,"5,61"
accompagnez,"0,95"
accompli,"15,06"
accomplie,"5,61"
accomplies,"1,69"
accomplir,"22,23"
accomplis,"4,32"
accomplissait,"3,78"
accomplissant,"2,36"
accomplisse,"0,95"
accomplissement,"4,26"
accomplit,"4,73"
accord,"124,66"
accorda,"2,97"
accordaient,"2,43"
accordais,"1,55"
accordait,"9,66"
accordant,"1,76"
accorde,"19,6"
accordee,"5,13"
accordees,"1,36"
accordent,"2,5"
accordeon,"4,8"
accordeoniste,"1,42"
accorder,"14,73"
accordes,"1,76"
accordez,"0,81"
accords,"11,49"
accoster,"1,35"
accotement,"1,08"
accouche,"2,3"
accouchement,"3,24"
accoucher,"3,51"
accouda,"2,97"
accoudaient,"0,27"
accoude,"6,49"
accoudee,"2,57"
accouder,"1,42"
accoudes,"1,62"
accoudions,"0,07"
accoudoir,"2,23"
