,word,freq,len,pron,phlen
0,a,58.65,1,a,1
1,abaissement,2.16,11,abEs°m@,7
2,abaisser,18.04,8,abese,5
3,abandon,27.36,7,ab@d&,5
4,abandonner,128.45,10,ab@done,7
5,abasourdi,2.64,9,abazuRdi,8
6,abasourdir,2.97,10,abazuRdiR,9
7,abat,1.01,4,aba,3
8,abattage,1.28,8,abataZ,6
9,abattement,2.64,10,abat°m@,7
10,abattis,1.08,7,abati,5
11,abattoir,4.66,8,abatwaR,7
12,abattre,50.61,7,abatR,5
13,abattu,8.51,6,abaty,5
14,abbaye,3.78,6,abei,4
15,abdication,1.96,10,abdikasj&,9
16,abdiquer,2.77,8,abdike,6
17,abdomen,1.55,7,abdomEn,7
18,abeille,9.86,7,abEj,4
19,aberrant,2.5,8,abER@,5
20,aberration,4.46,10,abERasj&,8
22,abject,3.92,6,abZEkt,6
23,abjection,2.3,9,abZEksj&,8
24,abjurer,1.28,7,abZyRe,6
25,ablation,1.35,8,ablasj&,7
26,ablution,1.55,8,ablysj&,7
28,aboiement,5.95,9,abwam@,6
29,aboli,2.57,5,aboli,5
30,abolir,9.32,6,aboliR,6
31,abolition,1.49,9,abolisj&,8
32,abominable,11.22,10,abominabl,9
33,abomination,4.53,11,abominasj&,10
34,abondamment,4.93,11,ab&dam@,7
35,abondance,9.39,9,ab&d@s,6
36,abondant,7.03,8,ab&d@,5
37,abonder,4.59,7,ab&de,5
38,abonnement,1.62,10,abOn°m@,7
39,abonner,2.09,7,abone,5
40,abord,19.05,5,abOR,4
41,abordage,1.49,8,abORdaZ,7
42,aborder,33.18,7,abORde,6
43,aboutir,25.81,7,abutiR,6
44,aboutissement,4.05,13,abutis°m@,9
45,aboyer,11.82,6,abwaje,6
46,abreuver,6.22,8,abR9ve,6
47,abreuvoir,3.92,9,abR9vwaR,8
48,abri,56.76,4,abRi,4
49,abricot,2.5,7,abRiko,6
50,abriter,26.22,7,abRite,6
51,abrupt,7.43,6,abRypt,6
52,abruptement,2.03,11,abRypt°m@,9
53,abruti,11.35,6,abRyti,6
54,abrutir,6.01,7,abRytiR,7
55,abrutissement,1.42,13,abRytis°m@,10
56,absence,76.28,7,aps@s,5
57,absent,35.61,6,aps@,4
58,absenter,6.01,8,aps@te,6
60,absinthe,2.91,8,aps5t,5
61,absolu,41.62,6,apsoly,6
62,absolument,63.45,10,apsolym@,8
63,absolution,2.5,10,apsolysj&,9
64,absorbant,1.35,9,apsORb@,7
65,absorber,28.65,8,apsORbe,7
66,absorption,2.03,10,apsORpsj&,9
67,absoudre,3.72,8,apsudR,6
68,abstenir,8.78,8,apst°niR,8
69,abstention,1.28,10,apst@sj&,8
70,abstinence,1.62,10,apstin@s,8
71,abstraction,2.97,11,apstRaksj&,10
72,abstraire,3.18,9,apstRER,7
73,abstrait,12.7,8,apstRE,6
74,absurde,35.88,7,apsyRd,6
75,absurdement,3.72,11,apsyRd°m@,9
76,abus,8.58,4,aby,3
77,abuser,14.26,6,abyze,5
78,abusif,1.82,6,abyzif,6
79,abusivement,1.15,11,abyziv°m@,9
80,acabit,1.62,6,akabi,5
81,acacia,6.35,6,akasja,6
82,acajou,7.57,6,akaZu,5
83,accablant,5.41,9,akabl@,6
84,accablement,3.72,11,akabl°m@,8
85,accabler,21.28,8,akable,6
86,accalmie,3.72,8,akalmi,6
87,accaparer,3.99,9,akapaRe,7
88,accent,45.54,6,aks@,4
89,accentuer,16.15,9,aks@t8e,7
90,acceptable,4.39,10,aksEptabl,9
91,acceptation,4.39,11,aksEptasj&,10
92,accepter,144.66,8,aksEpte,7
93,accessible,5.74,10,aksesibl,8
94,accession,1.22,9,aksEsj&,7
95,accessoire,10.14,10,akseswaR,8
96,accident,44.8,8,aksid@,6
97,accidentel,3.45,10,aksid@tEl,9
98,acclamation,4.66,11,aklamasj&,9
99,acclamer,5.81,8,aklame,6
100,acclimater,1.96,10,aklimate,8
101,accolade,2.23,8,akolad,6
103,accommodement,1.01,13,akomOd°m@,9
104,accommoder,14.19,10,akomode,7
105,accompagnateur,1.01,14,ak&paNat9R,10
106,accompagnement,2.57,14,ak&paN°m@,9
107,accompagner,124.46,11,ak&paNe,7
108,accompli,10.54,8,ak&pli,6
109,accomplir,55.2,9,ak&pliR,7
110,accomplissement,4.46,15,ak&plis°m@,10
111,accord,136.15,6,akOR,4
112,accorder,67.84,8,akORde,6
113,accoster,4.19,8,akOste,6
114,accotement,1.42,10,akOt°m@,7
116,accouchement,3.92,12,akuS°m@,7
117,accoucher,7.43,9,akuSe,5
118,accouder,17.7,8,akude,5
119,accoudoir,5.2,9,akudwaR,7
120,accouplement,2.5,12,akupl°m@,8
121,accoupler,3.24,9,akuple,6
122,accourir,19.05,8,akuRiR,6
123,accoutrement,2.7,12,akutR°m@,8
124,accoutumance,1.28,12,akutym@s,8
125,accoutumer,9.12,10,akutyme,7
126,accroc,3.11,6,akRo,4
127,accrochage,1.49,10,akRoSaZ,7
128,accrocher,99.93,9,akRoSe,6
129,accroissement,1.28,13,akRwas°m@,9
130,accroupi,8.24,8,akRupi,6
131,accroupir,24.93,9,akRupiR,7
132,accru,3.04,5,akRy,4
133,accueil,16.42,7,ak9j,4
134,accueillant,5.07,11,ak9j@,5
135,accueillir,54.73,10,ak9jiR,6
136,acculer,4.93,7,akyle,5
137,accumulation,3.78,12,akymylasj&,10
138,accumuler,24.53,9,akymyle,7
139,accusateur,2.7,10,akyzat9R,8
140,accusation,8.85,10,akyzasj&,8
141,accuser,39.93,7,akyze,5
142,acerbe,1.22,6,asERb,5
143,acharnement,8.24,11,aSaRn°m@,8
144,acharner,22.64,8,aSaRne,6
145,achat,16.96,5,aSa,3
146,acheminer,6.15,9,aS°mine,7
147,acheter,148.38,7,aS°te,5
148,acheteur,5.47,8,aS°t9R,6
149,achever,81.42,7,aS°ve,5
150,acide,13.11,5,asid,4
151,acier,34.46,5,asje,4
152,acolyte,1.96,7,akolit,6
153,acompte,1.15,7,ak&t,4
154,acoquiner,1.01,9,akokine,7
155,acquiescement,2.84,13,akjEs°m@,8
156,acquiescer,12.43,10,akjese,6
157,acquis,7.97,6,aki,3
158,acquisition,3.78,11,akizisj&,8
159,acquit,2.23,6,aki,3
160,acquitter,6.82,9,akite,5
161,acrobate,4.12,8,akRobat,7
162,acrobatie,2.57,9,akRobasi,8
163,acrobatique,1.01,11,akRobatik,9
164,acte,57.3,4,akt,3
165,acteur,38.31,6,akt9R,5
166,actif,15.14,5,aktif,5
167,action,87.43,6,aksj&,5
168,actionner,5.61,9,aksjone,7
169,activement,3.51,10,aktiv°m@,8
170,activer,6.62,7,aktive,6
171,actuel,20.68,6,akt8El,6
172,actuellement,16.69,12,akt8El°m@,9
173,adaptation,4.66,10,adaptasj&,9
174,adapter,12.57,7,adapte,6
175,addition,9.53,8,adisj&,6
176,additionner,2.64,11,adisjone,8
177,adepte,2.84,6,adEpt,5
178,adieu,45.4,5,adj2,4
179,adipeux,1.28,7,adip2,5
181,adjectif,3.51,8,adZEktif,8
182,adjoindre,2.97,9,adZw5dR,7
183,adjoint,7.3,7,adZw5,5
184,adjudant,22.23,8,adZyd@,6
186,admettre,59.46,8,admEtR,6
187,administrateur,4.73,14,administRat9R,13
188,administratif,11.08,13,administRatif,13
189,administration,26.42,14,administRasj&,13
190,administrer,8.04,11,administRe,10
191,admirable,31.55,9,admiRabl,8
192,admirablement,4.73,13,admiRabl°m@,11
193,admirateur,5.14,10,admiRat9R,9
194,admiratif,6.96,9,admiRatif,9
195,admiration,32.7,10,admiRasj&,9
196,admirer,68.18,7,admiRe,6
197,admis,1.96,5,admi,4
198,admission,1.82,9,admisj&,7
