,word,orthosyll,syll,freq,pron,len,phlen
0,a,a,a,58.65,a,1,1
1,abaissant,a-bais-sant,a-bE-s@,0.27,abEs@,9,5
3,abaisser,a-bais-ser,a-be-se,18.04,abese,8,5
4,abaissé,a-bais-sé,a-be-se,0.74,abese,7,5
5,abalone,a-ba-lo-ne,a-ba-lOn,0.07,abalOn,7,6
6,abandon,a-ban-don,a-b@-d§,27.36,ab@d§,7,5
7,abandonner,a-ban-don-ner,a-b@-do-ne,128.45,ab@done,10,7
9,abandonné,a-ban-don-né,a-b@-do-ne,24.39,ab@done,9,7
10,abaque,a-ba-que,a-bak,0.07,abak,6,4
11,abasourdi,a-ba-sour-di,a-ba-zuR-di,2.64,abazuRdi,9,8
12,abasourdir,a-ba-sour-dir,a-ba-zuR-diR,2.97,abazuRdiR,10,9
13,abat,a-bat,a-ba,1.01,aba,4,3
14,abatage,a-ba-ta-ge,a-ba-taZ,0.07,abataZ,7,6
15,abatis,a-ba-tis,a-ba-ti,0.88,abati,6,5
16,abattage,a-bat-ta-ge,a-ba-taZ,1.28,abataZ,8,6
17,abattant,a-bat-tant,a-ba-t@,0.61,abat@,8,5
18,abattement,a-bat-te-ment,a-ba-t°-m@,2.64,abat°m@,10,7
19,abatteur,a-bat-teur,a-ba-t9R,0.27,abat9R,8,6
20,abattis,a-bat-tis,a-ba-ti,1.08,abati,7,5
21,abattoir,a-bat-toir,a-ba-twaR,4.66,abatwaR,8,7
22,abattre,a-bat-tre,a-batR,50.61,abatR,7,5
23,abattu,a-bat-tu,a-ba-ty,7.09,abaty,6,5
24,abbatial,ab-ba-tial,a-ba-sjal,0.61,abasjal,8,7
25,abbatiale,ab-ba-tia-le,a-ba-sjal,0.14,abasjal,9,7
26,abbaye,ab-baye,a-be-i,3.78,abei,6,4
27,abbé,ab-bé,a-be,33.51,abe,4,3
28,abcès,ab-cès,ap-sE,3.31,apsE,5,4
29,abdication,ab-di-ca-tion,ab-di-ka-sj§,1.96,abdikasj§,10,9
30,abdiquer,ab-di-quer,ab-di-ke,2.77,abdike,8,6
31,abdomen,ab-do-men,ab-do-mEn,1.55,abdomEn,7,7
