,word,freq,len
0,a,4447.0,1
1,abandonne,3.0,9
2,abandonnee,2.0,10
3,abandonner,3.0,10
4,abandonnerent,3.0,13
5,abandonnes,1.0,10
6,abattre,1.0,7
7,abattu,1.0,6
8,abeille,19.0,7
9,abeilles,8.0,8
10,abimait,1.0,7
11,abime,6.0,5
12,abimee,1.0,6
13,abimer,2.0,6
14,abimes,3.0,6
15,aboie,13.0,5
16,abordage,1.0,8
17,aboville,8.0,8
18,aboya,5.0,5
19,aboye,1.0,5
20,aboyer,12.0,6
21,abracadabra,6.0,11
22,abraham,1.0,7
23,abreuvoir,3.0,9
24,abri,21.0,4
25,abricot,8.0,7
26,abricotier,1.0,10
27,abricots,2.0,8
28,abrite,2.0,6
29,abrutis,1.0,7
30,absence,2.0,7
31,absent,1.0,6
32,absente,1.0,7
33,absents,2.0,7
34,absolument,4.0,10
35,absurde,1.0,7
36,academies,3.0,9
37,accelere,2.0,8
38,accelerer,1.0,9
39,accepta,2.0,7
40,accepte,8.0,7
41,acceptent,2.0,9
42,accepter,1.0,8
43,accepteront,1.0,11
44,acceptez,1.0,8
45,acces,1.0,5
46,accident,9.0,8
47,acclame,1.0,7
48,acclamer,1.0,8
49,accompagnant,2.0,12
50,accompagne,9.0,10
51,accompagner,3.0,11
52,accompagneront,1.0,14
53,accompagnes,5.0,11
54,accomplie,1.0,9
55,accomplit,1.0,9
56,accord,30.0,6
57,accordeon,18.0,9
58,accourt,2.0,7
59,accourut,2.0,8
60,accrocha,1.0,8
61,accrochant,1.0,10
62,accroche,23.0,8
63,accrochee,5.0,9
64,accrocher,4.0,9
65,accrocherent,1.0,12
66,accroches,1.0,9
67,accroupi,1.0,8
68,accroupit,3.0,9
69,accueil,1.0,7
70,accueille,1.0,9
71,accueillent,1.0,11
72,accueillera,1.0,11
73,accueilli,3.0,9
74,accueillie,1.0,10
75,accueillirent,1.0,13
76,accumule,2.0,8
77,achat,2.0,5
78,achats,6.0,6
79,acheta,4.0,6
80,achete,56.0,6
81,achetee,1.0,7
82,achetees,1.0,8
83,achetent,1.0,8
84,acheter,33.0,7
85,achetera,1.0,8
86,achetez,4.0,7
87,achetions,1.0,9
88,achetons,1.0,8
89,acheve,2.0,6
90,acide,1.0,5
91,acier,5.0,5
92,acrobate,14.0,8
93,acrobatie,3.0,9
