word,pron,phono,segm,pseg,gpmatch
a,a,a,a,a,a-a
a,a,a,a,a,a-a
abandonne,ab@don,a.b@.don,a.b.an.d.o.nn.e,a.b.@.d.o.n.#,a-a.b-b.an-@.d-d.o-o.nn-n.e-#
abandonné,ab@done,a.b@.do.ne,a.b.an.d.o.nn.é,a.b.@.d.o.n.e,a-a.b-b.an-@.d-d.o-o.nn-n.é-e
abandonné,ab@done,a.b@.do.ne,a.b.an.d.o.nn.é,a.b.@.d.o.n.e,a-a.b-b.an-@.d-d.o-o.nn-n.é-e
abandonnée,ab@done,a.b@.do.ne,a.b.an.d.o.nn.é.e,a.b.@.d.o.n.e.#,a-a.b-b.an-@.d-d.o-o.nn-n.é-e.e-#
abandonnée,ab@done,a.b@.do.ne,a.b.an.d.o.nn.é.e,a.b.@.d.o.n.e.#,a-a.b-b.an-@.d-d.o-o.nn-n.é-e.e-#
abandonner,ab@done,a.b@.do.ne,a.b.an.d.o.nn.er,a.b.@.d.o.n.e,a-a.b-b.an-@.d-d.o-o.nn-n.er-e
abandonnèrent,ab@doneR,a.b@.do.neR,a.b.an.d.o.nn.è.r.e.n.t,a.b.@.d.o.n.e.R.#.#.#,a-a.b-b.an-@.d-d.o-o.nn-n.è-e.r-R.e-#.n-#.t-#
abandonnés,ab@done,a.b@.do.ne,a.b.an.d.o.nn.é.s,a.b.@.d.o.n.e.#,a-a.b-b.an-@.d-d.o-o.nn-n.é-e.s-#
abattre,abatR*,a.ba.tR*,a.b.a.tt.r.e,a.b.a.t.R.*,a-a.b-b.a-a.tt-t.r-R.e-*
abattu,abaty,a.ba.ty,a.b.a.tt.u,a.b.a.t.y,a-a.b-b.a-a.tt-t.u-y
abeille,abej,a.bej,a.b.e.ill.e,a.b.e.j.#,a-a.b-b.e-e.ill-j.e-#
abeilles,abej,a.bej,a.b.e.ill.e.s,a.b.e.j.#.#,a-a.b-b.e-e.ill-j.e-#.s-#
abîmait,abime,a.bi.me,a.b.î.m.ai.t,a.b.i.m.e.#,a-a.b-b.î-i.m-m.ai-e.t-#
abîme,abim,a.bim,a.b.î.m.e,a.b.i.m.#,a-a.b-b.î-i.m-m.e-#
abîmé,abime,a.bi.me,a.b.î.m.é,a.b.i.m.e,a-a.b-b.î-i.m-m.é-e
abîmée,abime,a.bi.me,a.b.î.m.é.e,a.b.i.m.e.#,a-a.b-b.î-i.m-m.é-e.e-#
abîmer,abime,a.bi.me,a.b.î.m.er,a.b.i.m.e,a-a.b-b.î-i.m-m.er-e
abîmes,abim,a.bim,a.b.î.m.e.s,a.b.i.m.#.#,a-a.b-b.î-i.m-m.e-#.s-#
abîmés,abime,a.bi.me,a.b.î.m.é.s,a.b.i.m.e.#,a-a.b-b.î-i.m-m.é-e.s-#
aboie,abwa,a.bwa,a.b.oi.e,a.b.wa.#,a-a.b-b.oi-wa.e-#
abordage,aboRdaZ,a.boR.daZ,a.b.o.r.d.a.g.e,a.b.o.R.d.a.Z.#,a-a.b-b.o-o.r-R.d-d.a-a.g-Z.e-#
aboya,abwaja,a.bwa.ja,a.b.oy.a,a.b.waj.a,a-a.b-b.oy-waj.a-a
aboyé,abwaje,a.bwa.je,a.b.oy.é,a.b.waj.e,a-a.b-b.oy-waj.é-e
aboyer,abwaje,a.bwa.je,a.b.oy.er,a.b.waj.e,a-a.b-b.oy-waj.er-e
abracadabra,abRakadabRa,a.bRa.ka.da.bRa,a.b.r.a.c.a.d.a.b.r.a,a.b.R.a.k.a.d.a.b.R.a,a-a.b-b.r-R.a-a.c-k.a-a.d-d.a-a.b-b.r-R.a-a
