,word,pron,phono,segm,pseg,gpmatch
0,a,a,a,.a,.a,(a-a)
1,à,a,a,.à,.a,(à-a)
2,abandonne,ab@don,a.b@.don,.a.b.an.d.o.nn.e,.a.b.@.d.o.n.#,(a-a.b-b.an-@.d-d.o-o.nn-n.e-#)
3,abandonné,ab@done,a.b@.do.ne,.a.b.an.d.o.nn.é,.a.b.@.d.o.n.e,(a-a.b-b.an-@.d-d.o-o.nn-n.é-e)
4,abandonné,ab@done,a.b@.do.ne,.a.b.an.d.o.nn.é,.a.b.@.d.o.n.e,(a-a.b-b.an-@.d-d.o-o.nn-n.é-e)
5,abandonnée,ab@done,a.b@.do.ne,.a.b.an.d.o.nn.é.e,.a.b.@.d.o.n.e.#,(a-a.b-b.an-@.d-d.o-o.nn-n.é-e.e-#)
6,abandonnée,ab@done,a.b@.do.ne,.a.b.an.d.o.nn.é.e,.a.b.@.d.o.n.e.#,(a-a.b-b.an-@.d-d.o-o.nn-n.é-e.e-#)
7,abandonner,ab@done,a.b@.do.ne,.a.b.an.d.o.nn.er,.a.b.@.d.o.n.e,(a-a.b-b.an-@.d-d.o-o.nn-n.er-e)
8,abandonnèrent,ab@donER,a.b@.do.nER,.a.b.an.d.o.nn.è.r.e.n.t,.a.b.@.d.o.n.E.R.#.#.#,(a-a.b-b.an-@.d-d.o-o.nn-n.è-E.r-R.e-#.n-#.t-#)
9,abandonnés,ab@done,a.b@.do.ne,.a.b.an.d.o.nn.é.s,.a.b.@.d.o.n.e.#,(a-a.b-b.an-@.d-d.o-o.nn-n.é-e.s-#)
10,abattre,abatR*,a.ba.tR*,.a.b.a.tt.r.e,.a.b.a.t.R.*,(a-a.b-b.a-a.tt-t.r-R.e-*)
11,abattu,abaty,a.ba.ty,.a.b.a.tt.u,.a.b.a.t.y,(a-a.b-b.a-a.tt-t.u-y)
12,abeille,abEj,a.bEj,.a.b.e.ill.e,.a.b.E.j.#,(a-a.b-b.e-E.ill-j.e-#)
13,abeilles,abEj,a.bEj,.a.b.e.ill.e.s,.a.b.E.j.#.#,(a-a.b-b.e-E.ill-j.e-#.s-#)
14,abîmait,abimE,a.bi.mE,.a.b.î.m.ai.t,.a.b.i.m.E.#,(a-a.b-b.î-i.m-m.ai-E.t-#)
15,abîme,abim,a.bim,.a.b.î.m.e,.a.b.i.m.#,(a-a.b-b.î-i.m-m.e-#)
16,abîmé,abime,a.bi.me,.a.b.î.m.é,.a.b.i.m.e,(a-a.b-b.î-i.m-m.é-e)
17,abîmée,abime,a.bi.me,.a.b.î.m.é.e,.a.b.i.m.e.#,(a-a.b-b.î-i.m-m.é-e.e-#)
18,abîmer,abime,a.bi.me,.a.b.î.m.er,.a.b.i.m.e,(a-a.b-b.î-i.m-m.er-e)
19,abîmes,abim,a.bim,.a.b.î.m.e.s,.a.b.i.m.#.#,(a-a.b-b.î-i.m-m.e-#.s-#)
20,abîmés,abime,a.bi.me,.a.b.î.m.é.s,.a.b.i.m.e.#,(a-a.b-b.î-i.m-m.é-e.s-#)
21,aboie,abwa,a.bwa,.a.b.oi.e,.a.b.wa.#,(a-a.b-b.oi-wa.e-#)
22,abordage,aboRdaZ,a.boR.daZ,.a.b.o.r.d.a.g.e,.a.b.o.R.d.a.Z.#,(a-a.b-b.o-o.r-R.d-d.a-a.g-Z.e-#)
23,aboya,abwaja,a.bwa.ja,.a.b.oy.a,.a.b.waj.a,(a-a.b-b.oy-waj.a-a)
24,aboyé,abwaje,a.bwa.je,.a.b.oy.é,.a.b.waj.e,(a-a.b-b.oy-waj.é-e)
25,aboyer,abwaje,a.bwa.je,.a.b.oy.er,.a.b.waj.e,(a-a.b-b.oy-waj.er-e)
26,abracadabra,abRakadabRa,a.bRa.ka.da.bRa,.a.b.r.a.c.a.d.a.b.r.a,.a.b.R.a.k.a.d.a.b.R.a,(a-a.b-b.r-R.a-a.c-k.a-a.d-d.a-a.b-b.r-R.a-a)
27,abreuvoir,abR9vwaR,a.bR9.vwaR,.a.b.r.eu.v.oi.r,.a.b.R.9.v.wa.R,(a-a.b-b.r-R.eu-9.v-v.oi-wa.r-R)
28,abri,abRi,a.bRi,.a.b.r.i,.a.b.R.i,(a-a.b-b.r-R.i-i)
29,abricot,abRikO,a.bRi.kO,.a.b.r.i.c.o.t,.a.b.R.i.k.O.#,(a-a.b-b.r-R.i-i.c-k.o-O.t-#)
30,abricot,abRikO,a.bRi.kO,.a.b.r.i.c.o.t,.a.b.R.i.k.O.#,(a-a.b-b.r-R.i-i.c-k.o-O.t-#)
31,abricotier,abRikotje,a.bRi.ko.tje,.a.b.r.i.c.o.t.i.er,.a.b.R.i.k.o.t.j.e,(a-a.b-b.r-R.i-i.c-k.o-o.t-t.i-j.er-e)
32,abricots,abRikO,a.bRi.kO,.a.b.r.i.c.o.t.s,.a.b.R.i.k.O.#.#,(a-a.b-b.r-R.i-i.c-k.o-O.t-#.s-#)
33,abrite,abRit,a.bRit,.a.b.r.i.t.e,.a.b.R.i.t.#,(a-a.b-b.r-R.i-i.t-t.e-#)
34,abrutis,abRyti,a.bRy.ti,.a.b.r.u.t.i.s,.a.b.R.y.t.i.#,(a-a.b-b.r-R.u-y.t-t.i-i.s-#)
35,absence,aps@s,ap.s@s,.a.b.s.en.c.e,.a.p.s.@.s.#,(a-a.b-p.s-s.en-@.c-s.e-#)
36,absent,aps@,ap.s@,.a.b.s.en.t,.a.p.s.@.#,(a-a.b-p.s-s.en-@.t-#)
37,absente,aps@t,ap.s@t,.a.b.s.en.t.e,.a.p.s.@.t.#,(a-a.b-p.s-s.en-@.t-t.e-#)
38,absents,aps@,ap.s@,.a.b.s.en.t.s,.a.p.s.@.#.#,(a-a.b-p.s-s.en-@.t-#.s-#)
39,absolument,apsolym@,ap.so.ly.m@,.a.b.s.o.l.u.m.en.t,.a.p.s.o.l.y.m.@.#,(a-a.b-p.s-s.o-o.l-l.u-y.m-m.en-@.t-#)
40,absurde,apsyRd*,ap.syR.d*,.a.b.s.u.r.d.e,.a.p.s.y.R.d.*,(a-a.b-p.s-s.u-y.r-R.d-d.e-*)
41,académies,akademi,a.ka.de.mi,.a.c.a.d.é.m.i.e.s,.a.k.a.d.e.m.i.#.#,(a-a.c-k.a-a.d-d.é-e.m-m.i-i.e-#.s-#)
42,accélère,akselER,ak.se.lER,.a.cc.é.l.è.r.e,.a.ks.e.l.E.R.#,(a-a.cc-ks.é-e.l-l.è-E.r-R.e-#)
43,accélérer,akseleRe,ak.se.le.Re,.a.cc.é.l.é.r.er,.a.ks.e.l.e.R.e,(a-a.cc-ks.é-e.l-l.é-e.r-R.er-e)
44,accepta,aksEpta,ak.sEp.ta,.a.cc.e.p.t.a,.a.ks.E.p.t.a,(a-a.cc-ks.e-E.p-p.t-t.a-a)
45,accepte,aksEpt*,ak.sEp.t*,.a.cc.e.p.t.e,.a.ks.E.p.t.*,(a-a.cc-ks.e-E.p-p.t-t.e-*)
46,acceptent,aksEpt*,ak.sEp.t*,.a.cc.e.p.t.e.n.t,.a.ks.E.p.t.*.#.#,(a-a.cc-ks.e-E.p-p.t-t.e-*.n-#.t-#)
47,accepter,aksEpte,ak.sEp.te,.a.cc.e.p.t.er,.a.ks.E.p.t.e,(a-a.cc-ks.e-E.p-p.t-t.er-e)
48,accepteront,aksEptR§,ak.sEp.tR§,.a.cc.e.p.t.e.r.on.t,.a.ks.E.p.t.#.R.§.#,(a-a.cc-ks.e-E.p-p.t-t.e-#.r-R.on-§.t-#)
49,acceptez,aksEpte,ak.sEp.te,.a.cc.e.p.t.ez,.a.ks.E.p.t.e,(a-a.cc-ks.e-E.p-p.t-t.ez-e)
50,accès,aksE,ak.sE,.a.cc.è.s,.a.ks.E.#,(a-a.cc-ks.è-E.s-#)
51,accident,aksid@,ak.si.d@,.a.cc.i.d.en.t,.a.ks.i.d.@.#,(a-a.cc-ks.i-i.d-d.en-@.t-#)
52,acclamé,aklame,a.kla.me,.a.cc.l.a.m.é,.a.k.l.a.m.e,(a-a.cc-k.l-l.a-a.m-m.é-e)
53,acclamer,aklame,a.kla.me,.a.cc.l.a.m.er,.a.k.l.a.m.e,(a-a.cc-k.l-l.a-a.m-m.er-e)
54,accompagnant,ak§paN@,a.k§.pa.N@,.a.cc.om.p.a.gn.an.t,.a.k.§.p.a.N.@.#,(a-a.cc-k.om-§.p-p.a-a.gn-N.an-@.t-#)
