,word,len,freq,nb,cat
2,aaron,5,10806,4,NN
4,abacus,6,513,0,NN
8,abandonment,11,786,0,NN
10,abasement,9,7,1,NN
14,abbess,6,33,1,NN
15,abbey,5,2286,1,NN
16,abbot,5,616,0,NN
19,abbreviation,12,1908,0,NN
20,abbreviations,13,248,0,NN
22,abdomen,7,1279,0,NN
25,abduction,9,1995,0,NN
26,abe,3,1235,14,NN
28,abel,4,1009,3,NN
31,aberration,10,556,0,NN
32,aberrations,11,299,0,NN
35,abeyance,8,36,0,NN
42,abigail,7,693,0,NN
43,abilities,9,9029,0,NN
44,ability,7,56922,1,NN
50,abnormalities,13,644,0,NN
51,abnormality,11,291,0,NN
54,abode,5,486,3,NN
57,abolition,9,827,0,NN
59,abolitionists,13,100,0,NN
63,aborigine,9,71,0,NN
64,aborigines,10,511,0,NN
66,abortion,8,16764,0,NN
67,abortionist,11,206,0,NN
68,abortions,9,3768,0,NN
78,abraham,7,3824,0,NN
79,abrasion,8,250,0,NN
83,abridgment,10,42,0,NN
89,abruptness,10,23,0,NN
90,abscess,7,96,0,NN
91,abscesses,9,109,0,NN
92,abscissa,8,18,0,NN
94,absence,7,7304,0,NN
95,absences,8,143,0,NN
99,absenteeism,11,78,0,NN
102,absinth,7,8,0,NN
105,absoluteness,12,23,0,NN
106,absolutes,9,587,0,NN
107,absolution,10,140,0,NN
108,absolutism,10,197,0,NN
112,absorbency,10,82,0,NN
114,absorber,8,143,1,NN
117,absorption,10,1735,0,NN
118,absorptions,11,11,0,NN
122,abstention,10,72,0,NN
123,abstinence,10,983,0,NN
127,abstractedness,14,2,0,NN
129,abstraction,11,1596,0,NN
130,abstractionism,14,1,0,NN
131,abstractionists,15,3,0,NN
132,abstractions,12,512,0,NN
135,abstractors,11,0,0,NN
139,absurdities,11,300,0,NN
140,absurdity,9,1084,0,NN
142,abundance,9,1825,0,NN
149,abutment,8,19,0,NN
150,abutments,9,18,0,NN
152,abyss,5,4219,0,NN
153,acacia,6,213,1,NN
156,academicianship,15,1,0,NN
157,academics,9,1817,1,NN
158,academies,9,967,1,NN
159,academy,7,1205,0,NN
160,acadia,6,305,1,NN
161,acapulco,8,180,0,NN
168,acceleration,12,4203,0,NN
169,accelerations,13,169,0,NN
170,accelerator,11,5152,0,NN
171,accelerators,12,1466,0,NN
172,accelerometer,13,70,0,NN
173,accelerometers,14,63,0,NN
174,accent,6,5213,2,NN
177,accents,7,1796,2,NN
184,acceptance,10,8774,0,NN
191,accessions,10,48,0,NN
192,accessories,11,5737,0,NN
193,accessors,9,173,1,NN
194,accessory,9,1342,1,NN
195,accident,8,11152,1,NN
198,accidents,9,4163,0,NN
202,acclamation,11,26,1,NN
205,accolade,8,703,0,NN
206,accolades,9,227,0,NN
211,accommodation,13,2006,0,NN
212,accommodations,14,1434,0,NN
215,accompaniment,13,711,0,NN
216,accompaniments,14,36,0,NN
217,accompanist,11,156,0,NN
218,accompanists,12,73,0,NN
221,accomplice,10,281,0,NN
222,accomplices,11,220,0,NN
227,accomplishment,14,1301,0,NN
228,accomplishments,15,199,0,NN
230,accordance,10,4854,0,NN
234,accordion,9,590,0,NN
240,accountability,14,1478,0,NN
242,accountant,10,1527,0,NN
243,accountants,11,1506,0,NN
248,accreditation,13,561,0,NN
255,acculturation,13,35,0,NN
260,accumulation,12,1206,0,NN
261,accuracy,8,10534,0,NN
265,accusation,10,2176,0,NN
266,accusations,11,3477,0,NN
275,ace,3,6967,15,NN
277,aces,4,1837,10,NN
278,acetate,7,547,0,NN
279,acetone,7,423,0,NN
280,acetylene,9,82,0,NN
286,achievement,11,3925,0,NN
287,achievements,12,2085,0,NN
290,achilles,8,688,0,NN
294,acidity,7,256,3,NN
295,acids,5,2326,0,NN
298,acknowledgement,15,1823,0,NN
301,acknowledgment,14,948,0,NN
302,acknowledgments,15,409,0,NN
