item,ntrials,err,rt,sd,rtz,nused
sometrais,22,0.136363636363636,817.21052631579,260.370586098475,0.130669827461259,19
vetucoution,23,0.043478260869565,846.333333333333,265.216012588481,-0.034069048633923,21
heusenreil,24,0.041666666666667,716.608695652174,254.072061919884,-0.46098189931115,23
lanmin,21,0.047619047619048,697.65,146.597291207831,-0.594705034658741,20
peités,20,0,771.5,205.824017830256,-0.119617809414091,20
fatichée,24,0.125,971.047619047619,201.076969389952,0.922771005789059,21
ainrir,22,0,734.909090909091,177.475124773642,-0.404113794967304,22
guevillors,23,0,768,232.330485613607,-0.205276210309995,23
injourment,24,0.083333333333333,916.772727272727,214.537582858749,0.372640709409865,22
ancotemps,23,0,807.652173913043,197.854539933589,-0.043342915657013,23
osatrome,22,0,750.590909090909,269.589928293379,-0.420820002948488,22
tengeur,24,0.208333333333333,797.105263157895,184.519163333858,0.058385337138842,19
trouliré,24,0.041666666666667,845.565217391304,215.757402925128,0.151069548508795,23
ruitreste,23,0,726.217391304348,194.006081563941,-0.279208355207137,23
cettirait,23,0.043478260869565,809.727272727273,192.219909235473,0.056231223118301,22
lacupatraidais,24,0,803.625,203.660589878271,-0.011237203187234,24
marbruns,24,0.083333333333333,810.40909090909,223.809795753726,-0.199630067669174,22
decicrirains,25,0.08,1014.82608695652,324.148065518594,0.982481708877361,23
tuntourcarse,23,0.043478260869565,692.545454545455,117.713424113184,-0.434782735428596,22
facrétrer,21,0.047619047619048,811.5,242.508274411194,0.105097434302336,20
étontribles,22,0.090909090909091,856.9,344.842740665182,0.38500557627415,20
fidiencote,21,0,817.190476190476,244.502069326135,-0.24925602018593,21
avero,22,0,726,215.708868128952,-0.274500252661574,20
chasertion,23,0,810.478260869565,176.446198229277,0.072357699507689,23
choroqueux,23,0,915,195.745218271585,0.275488105744126,22
oumisjorivre,23,0,666.136363636364,136.8479501924,-0.748923213630657,22
arreutuce,22,0.090909090909091,710.15,156.727478865638,-0.499138226729303,20
letron,23,0.043478260869565,673.636363636364,188.514126148615,-0.696381221329463,22
repole,22,0,690.47619047619,136.703189080438,-0.516889533491387,21
dannonser,24,0,736.375,138.67880076857,-0.379359731373664,24
tiléle,23,0,739.260869565217,164.736764509407,-0.394766159388883,23
seutrevait,22,0,936.727272727273,210.661358089726,0.385104193229349,22
deterserpas,22,0,804.772727272727,212.641870136304,0.26730848651175,22
fortervailtrée,22,0,867.454545454545,230.433489479271,0.233228704311691,22
grillevicter,24,0,851.125,273.245917667106,0.035756776565482,24
phriable,22,0.045454545454545,771.47619047619,238.789367235566,0.047338263748529,21
reure,24,0,689.541666666667,120.163287154231,-0.709459604482435,24
jaché,23,0.217391304347826,828.111111111111,254.967100274177,0.122926198296844,18
insnité,25,0.08,810.04347826087,228.793769436159,0.102897612077855,23
goscepolors,23,0.086956521739131,722.952380952381,189.692244488402,-0.494637093971769,21
cailtitaient,22,0.045454545454545,859.842105263158,249.103562389866,0.258425465276461,19
beaufitete,20,0,849.4,228.172464780943,0.202036146842524,20
pépontes,23,0,758,151.661704880542,-0.129671036419728,23
oturbangarme,23,0,809.217391304348,254.209283236853,-0.092155892591984,23
épite,22,0.090909090909091,736.157894736842,168.868542941904,-0.325320067076025,19
rutier,21,0.047619047619048,775.5,241.46032435018,-0.161348139671857,18
jeutodroits,21,0.047619047619048,749.65,189.969325778774,-0.233290966256946,20
berrovanais,22,0,774.954545454545,193.350281015651,-0.086527356741278,22
exulpatolors,24,0,824.217391304348,216.711151813095,0.188191288542632,23
astatiens,23,0.086956521739131,797.761904761905,225.109951970566,-0.017454164648799,21
favernais,22,0,831.454545454545,193.648362532938,0.038219013971275,22
ivangé,23,0.043478260869565,837.90909090909,269.845971778065,0.011378737301056,22
lettupes,20,0,749.25,188.516054042034,-0.188908553194607,20
chotire,21,0,693.666666666667,164.562855266106,-0.568878896850639,21
sacouvoyer,25,0.04,855.434782608696,278.213591277532,0.154028913596496,23
prélentin,21,0.095238095238095,850.78947368421,237.088961022222,0.102013921525561,19
sounister,24,0.083333333333333,782.714285714286,188.220387540017,0.13070971820321,21
sotercachetase,23,0.043478260869565,879.75,319.455107627776,0.104805830634794,20
soucoulias,23,0,844.695652173913,228.334371000595,-0.109623836843507,23
parcoution,20,0,858.1,262.619576774587,0.700841140505585,20
heucodre,23,0,660.565217391304,134.795746522776,-0.703230472351781,23
tupaireux,23,0.043478260869565,691.045454545455,146.51035304641,-0.511213910950732,22
pourpreme,26,0,779.692307692308,178.582366258434,-0.277005269286936,26
coucierleurs,25,0,845.64,213.656437612662,0.262594726068491,25
afirait,19,0.052631578947369,861.388888888889,213.901059835366,0.450204312469524,18
gerecce,21,0,760.285714285714,194.510190698879,-0.191279209777855,21
reba,22,0.045454545454545,658.47619047619,132.533248299292,-0.677596307195688,21
asacienlite,25,0,798.083333333333,207.967371325965,-0.083347675910523,24
queltés,20,0,684.65,138.159433074142,-0.633810229802139,20
jourtaildait,24,0,740.695652173913,160.632962422414,-0.100398281422633,23
bonglivitiles,21,0,836.761904761905,197.686596602275,0.021617028017656,21
famaiterla,21,0,741.761904761905,185.895106111459,-0.383584473858996,21
pacivrit,24,0.041666666666667,752.130434782609,171.791179884667,-0.425784351995491,23
tencousait,21,0,723.714285714286,167.776083771538,-0.299033457192287,21
prositre,22,0,842.954545454545,204.255786715888,0.296317060426685,22
jourgnapeur,25,0.04,749.541666666667,172.680398214552,-0.213903484954583,24
