,word,pron,freq,len,phlen
0,a,a,93.83,1,1
1,aal,al,4.83,3,2
2,aale,al@,5.67,4,3
3,aalen,al@n,2.83,5,4
7,aare,ar@,0.33,4,3
11,aas,as,1.0,3,2
15,aasgeier,asgai@r,0.17,8,7
16,aasgeiern,asgai@rn,0.17,9,8
21,abart,apart,0.83,5,5
22,abarten,apart@n,0.33,7,7
27,abbau,apbau,13.83,5,5
30,abbaues,apbau@s,0.33,7,7
43,abbaus,apbaus,0.33,6,6
45,abberufung,apb@rufuN,4.33,10,9
47,abbestellung,apb@SteluN,0.17,12,10
49,abbild,apilt,2.83,6,5
51,abbilder,apild@r,0.67,8,7
55,abbildung,apbilduN,4.33,9,8
56,abbildungen,apilduN@n,9.83,11,9
57,abbitte,apit@,0.33,7,5
59,abblendlicht,apblentliCt,0.5,12,11
71,abbruch,apbrux,10.67,7,6
73,abbrucharbeiten,apbruxarbait@n,0.67,15,14
76,abbruchs,apbruxs,0.33,8,7
77,abbrande,aprend@,0.17,8,7
86,abdachung,apdaxuN,0.17,9,7
93,abdankung,apdaNkuN,0.33,9,8
104,abdichtung,apdiCtuN,0.5,10,8
113,abdruck,apdruk,2.67,7,6
125,abend,ab@nt,111.67,5,5
126,abendanzug,ab@ntantsuk,0.33,10,11
132,abendbrot,ab@ntbrot,3.17,9,9
134,abendbroten,ab@ntbrot@n,0.17,11,11
137,abenddammerung,ab@ntdem@ruN,0.67,14,12
139,abende,ab@nd@,7.67,6,6
140,abenden,ab@nd@n,2.17,7,7
141,abendessen,ab@ntes@n,7.0,10,9
142,abendessens,ab@ntes@ns,0.5,11,10
143,abendgymnasien,ab@ntgymnazj@n,0.17,14,14
144,abendgymnasium,ab@ntgymnazjum,0.17,14,14
146,abendkleid,ab@ntklait,1.17,10,10
148,abendkleider,ab@ntklaid@r,0.17,12,12
149,abendkleidern,ab@ntklaid@rn,0.33,13,13
153,abendkurse,ab@ntku@rz@,0.33,10,11
154,abendkursen,ab@ntku@rz@n,0.17,11,12
157,abendland,ab@ntlant,13.0,9,9
158,abendlande,ab@ntland@,0.67,10,10
159,abendlandes,ab@ntland@s,12.83,11,11
160,abendlands,ab@ntlants,0.5,10,10
161,abendlander,ab@ntlend@r,6.67,11,11
162,abendlandern,ab@ntlend@rn,1.33,12,12
163,abendlanders,ab@ntlend@rs,0.67,12,12
164,abendmahl,ab@ntmal,0.33,9,8
167,abendmahls,ab@ntmals,0.17,10,9
