,word,pron,freq
2,#######ca,######ka,1.38
3,#######ce,####@s,15.82
4,#######ci,#####si,5.250000000000001
5,#######cu,####ky,20.18
7,#######cé,####@,1.98
8,#######da,######da,2.21
12,#######dé,######de,7.040000000000001
14,#######fé,####fe,1.52
16,#######gé,#####Ze,13.059999999999999
24,#######lé,#####je,55.42
27,#######mé,######me,4.54
28,#######na,#######na,3.86
31,#######né,#####ne,61.30999999999999
33,#######pé,#######pe,6.94
34,#######ra,######Ra,29.76
38,#######ré,######Re,22.129999999999995
40,#######sé,#####se,17.319999999999997
43,#######to,#####to,2.17
45,#######té,#######te,87.04
47,#######vi,######vi,6.88
48,#######vé,#######ve,1.35
52,#######zé,####ze,1.96
59,######ber,######be,2.66
67,######blé,####ble,2.09
69,######bré,#####bRe,1.7800000000000002
71,######bue,######by,2.0
73,######bué,######b8e,2.23
74,######bé,######be,4.800000000000001
75,######bée,######be,3.77
79,######ce,###@s,2.13
80,######cer,#####se,12.73
82,######cez,####se,17.43
84,######chi,####Si,1.03
86,######ché,#####Se,22.769999999999996
87,######ci,#####si,1.14
89,######cie,#####si,10.3
91,######cir,#####siR,4.75
92,######cis,#####si,1.92
93,######cit,#####si,1.1300000000000001
95,######co,######ko,2.62
102,######cé,####se,102.64
103,######cée,#####se,2.5599999999999996
104,######cés,#####se,1.84
105,######da,#####da,1.48
110,######der,#####de,5.7
112,######dez,####de,29.85
113,######di,#####di,31.86
117,######dir,####diR,3.5
118,######dis,#####di,2.13
119,######dit,####di,5.52
120,######do,####do,4.01
123,######dos,####do,1.38
125,######dra,#####dRa,55.379999999999995
127,######du,####dy,20.57
128,######due,#####dy,4.35
129,######dus,#####dy,9.11
131,######dé,####de,15.939999999999998
132,######dée,######de,3.02
133,######dés,######de,1.8199999999999998
140,######fie,#####fi,3.24
141,######fié,#####fje,14.090000000000002
145,######fré,####fRe,1.01
146,######fé,####fe,1.56
152,######ger,#####Ze,17.46
153,######gez,#####Ze,3.75
156,######gie,#####Zi,12.979999999999999
161,######gné,####Ne,4.5
171,######gué,#####ge,4.63
172,######gé,#####Ze,10.52
173,######gée,#####Ze,1.82
174,######gés,#####Ze,1.1400000000000001
175,######ha,####a,4.98
182,######ker,#####k9R,1.62
188,######la,####ja,2.35
192,######lat,######la,1.08
195,######ler,#####le,25.95
197,######lez,####je,13.769999999999998
207,######lon,####j§,13.719999999999999
213,######ly,######li,1.37
215,######lé,####je,41.699999999999996
216,######lée,####je,19.17
217,######lés,###je,3.07
219,######ma,######ma,1.1300000000000001
222,######man,######man,2.7599999999999993
223,######mar,####maR,26.8
226,######mer,#####me,14.530000000000001
228,######mez,#####me,3.7399999999999998
231,######mie,#####mi,3.5199999999999996
232,######min,#####m5,3.47
233,######mir,#####miR,1.8
234,######mis,#####mi,9.09
238,######mé,#####me,21.0
239,######mée,#####me,3.4899999999999993
240,######més,#####me,4.409999999999998
242,######na,#####na,1.67
244,######nal,######nal,1.09
247,######nel,#####nEl,52.480000000000004
248,######ner,#####ne,40.41
249,######nes,#####in,2.71
250,######net,#####nE,1.03
251,######nez,#####ne,130.32
252,######ni,#####ni,1.4300000000000002
253,######nie,######ni,23.120000000000005
254,######nir,####niR,10.27
255,######nis,######ni,1.77
259,######nu,#####ny,11.01
260,######nue,#####ny,22.14
261,######nus,#####ny,5.65
263,######né,####ne,39.94
264,######née,#####ne,13.799999999999997
265,######nés,####ne,15.459999999999997
