word,pron,freq
~~~~~~~ca,~~~~~~~ca,1.38
~~~~~~~ce,~~~~~~~s,24.66
~~~~~~~ci,~~~~~si,5.250000000000001
~~~~~~~cu,~~~~ky,20.18
~~~~~~~cé,~~~~~~se,1.7300000000000002
~~~~~~~da,~~~~~~da,2.21
~~~~~~~de,~~~~~~~d,1.61
~~~~~~~dé,~~~~~~de,7.330000000000001
~~~~~~~fé,~~~~fe,1.52
~~~~~~~ge,~~~~~~~Z,7.69
~~~~~~~gé,~~~~~Ze,13.059999999999999
~~~~~~~le,~~~~~~~l,3.87
~~~~~~~li,~~~~~~~li,3.79
~~~~~~~lé,~~~~~~~le,55.45
~~~~~~~me,~~~~~~~m,15.74
~~~~~~~mé,~~~~~~me,4.54
~~~~~~~na,~~~~~~~na,3.8699999999999997
~~~~~~~ne,~~~~~~~n,3.2
~~~~~~~nu,~~~~~~ny,4.6499999999999995
~~~~~~~né,~~~~~ne,61.30999999999999
~~~~~~~pé,~~~~~~pe,9.79
~~~~~~~ra,~~~~~~Ra,54.120000000000005
~~~~~~~re,~~~~~~~R,12.97
~~~~~~~ré,~~~~~~Re,22.419999999999995
~~~~~~~se,~~~~~~~z,4.19
~~~~~~~sé,~~~~~se,17.319999999999997
~~~~~~~te,~~~~~~~t,2.09
~~~~~~~to,~~~~~to,2.17
~~~~~~~té,~~~~~~~te,101.37
~~~~~~~vi,~~~~~~vi,6.88
~~~~~~~vé,~~~~~~~ve,1.3800000000000001
~~~~~~~zé,~~~~ze,1.96
~~~~~~ber,~~~~~~ber,3.8200000000000003
~~~~~~ble,~~~~~~bl,5.64
~~~~~~blé,~~~~ble,2.26
~~~~~~bré,~~~~~bRe,1.7800000000000002
~~~~~~bue,~~~~~~by,2.0
~~~~~~bué,~~~~~~b8e,2.23
~~~~~~bé,~~~~~~be,4.800000000000001
~~~~~~bée,~~~~~~be,3.77
~~~~~~ce,~~~~~~s,17.54
~~~~~~cer,~~~~~~cer,92.51
~~~~~~ces,~~~~~~se,5.12
~~~~~~cez,~~~~se,17.43
~~~~~~chi,~~~~Si,1.03
~~~~~~ché,~~~~~Se,22.769999999999996
~~~~~~ci,~~~~~si,1.14
~~~~~~cie,~~~~~si,10.3
~~~~~~cir,~~~~~siR,4.75
~~~~~~cis,~~~~~si,1.92
~~~~~~cit,~~~~~~cit,1.1300000000000001
~~~~~~co,~~~~~~ko,2.62
~~~~~~cé,~~~~se,102.64
~~~~~~cée,~~~~~se,2.5599999999999996
~~~~~~cés,~~~~~se,1.84
~~~~~~da,~~~~~da,1.48
~~~~~~de,~~~~~~d,1.2600000000000002
~~~~~~der,~~~~~~der,17.549999999999997
~~~~~~dez,~~~~de,29.85
~~~~~~di,~~~~~di,31.86
~~~~~~dir,~~~~diR,3.5
~~~~~~dis,~~~~~di,2.13
~~~~~~dit,~~~~di,5.52
~~~~~~do,~~~~do,4.01
~~~~~~dos,~~~~do,1.38
~~~~~~dra,~~~~~dRa,55.379999999999995
~~~~~~du,~~~~dy,20.57
~~~~~~due,~~~~~dy,4.35
~~~~~~dus,~~~~~dy,9.11
~~~~~~dé,~~~~de,15.939999999999998
~~~~~~dée,~~~~~~de,3.02
~~~~~~dés,~~~~~~de,1.8199999999999998
~~~~~~fer,~~~~~~fer,1.4
~~~~~~fie,~~~~~fi,3.24
~~~~~~fié,~~~~~fje,14.090000000000002
~~~~~~fré,~~~~fRe,1.01
~~~~~~fé,~~~~fe,1.56
~~~~~~ge,~~~~~~Z,1.59
~~~~~~ger,~~~~~~ger,20.310000000000006
~~~~~~gez,~~~~~Ze,3.75
~~~~~~gie,~~~~~Zi,12.979999999999999
~~~~~~gné,~~~~Ne,4.5
~~~~~~gué,~~~~~ge,4.63
~~~~~~gé,~~~~~Ze,10.52
~~~~~~gée,~~~~~Ze,1.82
~~~~~~gés,~~~~~Ze,1.1400000000000001
~~~~~~ha,~~~~a,4.98
~~~~~~ker,~~~~~~ke,1.62
~~~~~~la,~~~~~~la,2.35
~~~~~~lat,~~~~~~la,1.08
~~~~~~le,~~~~~~l,14.74
~~~~~~ler,~~~~~~le,50.08
~~~~~~les,~~~~~~le,6.37
~~~~~~let,~~~~~~let,1.1900000000000002
~~~~~~lez,~~~~~~le,13.769999999999998
~~~~~~lir,~~~~~liR,1.2
~~~~~~lon,~~~~~~l§,13.719999999999999
~~~~~~ly,~~~~~~li,1.37
~~~~~~lé,~~~~~~le,41.71999999999999
~~~~~~lée,~~~~~~lée,19.2
~~~~~~lés,~~~~le,3.439999999999999
~~~~~~ma,~~~~~~ma,1.1300000000000001
~~~~~~man,~~~~~~~man,10.31
~~~~~~mar,~~~~maR,26.8
~~~~~~me,~~~~~~m,57.1
~~~~~~men,~~~~~~~mEn,2.77
~~~~~~mer,~~~~~~mer,15.709999999999997
~~~~~~mez,~~~~~me,3.9499999999999997
~~~~~~mie,~~~~~mi,3.5199999999999996
~~~~~~min,~~~~~m5,3.47
~~~~~~mir,~~~~~miR,1.8
~~~~~~mis,~~~~~mi,9.09
~~~~~~mé,~~~~~me,21.330000000000002
~~~~~~mée,~~~~~me,3.4899999999999993
~~~~~~més,~~~~~me,4.419999999999998
~~~~~~na,~~~~~na,1.67
~~~~~~nal,~~~~~~nal,1.09
~~~~~~ne,~~~~~~n,5.37
~~~~~~nel,~~~~~nEl,52.480000000000004
~~~~~~ner,~~~~~~ner,123.10000000000002
~~~~~~nes,~~~~~~n,2.71
~~~~~~net,~~~~~nE,1.03
~~~~~~nez,~~~~~ne,130.32
~~~~~~ni,~~~~~ni,1.4300000000000002
~~~~~~nie,~~~~~~ni,23.120000000000005
~~~~~~nir,~~~~niR,10.27
~~~~~~nis,~~~~~~ni,1.77
~~~~~~nu,~~~~~ny,11.01
~~~~~~nue,~~~~~ny,22.14
~~~~~~nus,~~~~~ny,5.65
~~~~~~né,~~~~ne,39.94
~~~~~~née,~~~~~ne,13.899999999999997
~~~~~~nés,~~~~ne,15.459999999999997
~~~~~~pal,~~~~~pal,24.130000000000003
~~~~~~per,~~~~~~per,21.090000000000003
~~~~~~pez,~~~~~pe,5.32
~~~~~~pir,~~~~~piR,1.62
~~~~~~pu,~~~~py,3.61
~~~~~~pus,~~~~py,2.02
~~~~~~pé,~~~~~pe,10.870000000000001
~~~~~~pée,~~~~~pe,7.159999999999999
~~~~~~pés,~~~~~pe,2.09
~~~~~~que,~~~~~~k,1.76
~~~~~~qué,~~~~~ke,31.290000000000003
~~~~~~ra,~~~~~Ra,211.81000000000006
~~~~~~rai,~~~~~RE,129.07999999999998
~~~~~~ras,~~~~~~ras,50.58000000000002
~~~~~~re,~~~~~~R,20.41
~~~~~~rer,~~~~~~rer,65.22000000000001
~~~~~~res,~~~~~~R,14.81
~~~~~~rez,~~~~~Re,38.83000000000001
~~~~~~ri,~~~~~Ri,1.3800000000000001
~~~~~~ria,~~~~~~ria,4.19
~~~~~~rie,~~~~~~Ri,38.68000000000001
~~~~~~rir,~~~~RiR,7.72
~~~~~~rié,~~~~~~rié,4.61
~~~~~~ron,~~~~R§,2.63
~~~~~~rou,~~~~Ru,1.42
~~~~~~ru,~~~~~Ry,6.029999999999999
~~~~~~ré,~~~~~~Re,26.520000000000003
~~~~~~rée,~~~~~~Re,5.559999999999998
~~~~~~rés,~~~~~~Re,3.3800000000000003
~~~~~~s,~~~~~~s,3.27
~~~~~~sa,~~~~sa,1.49
~~~~~~sel,~~~~~~sEl,2.96
~~~~~~ser,~~~~~~ser,65.42999999999999
~~~~~~sez,~~~~se,17.229999999999997
~~~~~~sie,~~~~~~sie,5.63
~~~~~~sif,~~~~~sif,2.7199999999999998
~~~~~~sir,~~~~~~sir,1.42
~~~~~~sis,~~~~~~sis,3.07
~~~~~~sit,~~~~~~sit,1.02
~~~~~~son,~~~~~~son,18.4
~~~~~~sus,~~~~~~sus,11.03
~~~~~~sé,~~~~~~sé,37.849999999999994
~~~~~~sée,~~~~~~sée,13.179999999999996
~~~~~~sés,~~~~~~sés,8.239999999999998
~~~~~~ta,~~~~~ta,3.64
~~~~~~tal,~~~~~~tal,1.17
~~~~~~tan,~~~~~t@,3.0799999999999996
~~~~~~te,~~~~~~t,8.8
~~~~~~ter,~~~~~~ter,182.18
~~~~~~tes,~~~~~~t,1.8800000000000001
~~~~~~tez,~~~~~te,79.98000000000002
~~~~~~ti,~~~~ti,15.43
~~~~~~tie,~~~~~~tie,3.69
~~~~~~tif,~~~~~~tif,9.309999999999999
~~~~~~tir,~~~~tiR,11.55
~~~~~~tis,~~~~~ti,3.42
~~~~~~tit,~~~~ti,1.5199999999999998
~~~~~~to,~~~~~to,1.6
~~~~~~tor,~~~~~tOR,1.72
~~~~~~tra,~~~~~tRa,9.52
~~~~~~tré,~~~~tRe,82.84999999999998
~~~~~~tu,~~~~ty,6.41
~~~~~~tue,~~~~~ty,3.04
~~~~~~tum,~~~~~~tOm,1.23
~~~~~~tus,~~~~~~tys,4.87
~~~~~~tut,~~~~~~ty,2.05
~~~~~~tué,~~~~~~t8e,1.21
~~~~~~té,~~~~~~te,256.90000000000003
~~~~~~tée,~~~te,22.240000000000002
~~~~~~tés,~~~~~~te,31.370000000000005
~~~~~~va,~~~~~va,1.9400000000000002
~~~~~~ver,~~~~~~ver,106.42
~~~~~~vez,~~~~~ve,8.2
~~~~~~vis,~~~~~~vis,3.46
~~~~~~vra,~~~~~~vRa,1.27
~~~~~~vu,~~~~~vy,1.8
~~~~~~vé,~~~~~ve,54.28
~~~~~~vée,~~~~~ve,15.89
~~~~~~vés,~~~~~ve,7.37
~~~~~~zer,~~~~~zER,1.26
~~~~~~ça,~~~~sa,3.95
~~~~~~çu,~~~~~~sy,1.66
~~~~~ba,~~~~~ba,1.34
~~~~~ber,~~~~~ber,3.02
~~~~~bet,~~~~bE,3.15
~~~~~bia,~~~~bja,2.46
~~~~~bin,~~~~b5,1.93
~~~~~bis,~~~~~bis,1.05
~~~~~ble,~~~~~bl,38.96
~~~~~bler,~~~~ble,1.2799999999999998
~~~~~bles,~~~~~bl,2.58
~~~~~bli,~~~bli,1.79
~~~~~blir,~~~bliR,1.13
~~~~~blis,~~~bli,1.0899999999999999
~~~~~blit,~~~bli,1.56
~~~~~blé,~~~~ble,1.02
~~~~~blée,~~~ble,7.16
~~~~~bo,~~~~bo,1.87
~~~~~bot,~~~~bo,1.1
~~~~~bue,~~~~by,1.78
~~~~~buer,~~~~b8e,1.49
~~~~~buts,~~~~by,1.05
~~~~~bué,~~~~b8e,2.14
~~~~~bé,~~~~~be,1.67
~~~~~ca,~~~~~ca,2.64
~~~~~cain,~~~~~k5,45.96
~~~~~cal,~~~~~kal,2.91
~~~~~cant,~~~~~k@,2.8499999999999996
~~~~~cap,~~~kap,3.4
~~~~~cat,~~~~ka,9.93
~~~~~cats,~~~~ka,4.33
~~~~~ce,~~~~~ce,3.8099999999999996
~~~~~cend,~~~~s@,1.82
~~~~~cer,~~~~~cer,48.43
~~~~~cez,~~~~se,6.390000000000001
~~~~~cha,~~~~Sa,1.1600000000000001
~~~~~cher,~~~~~cher,35.64
~~~~~chez,~~~~Se,36.269999999999996
~~~~~chi,~~~~~Si,28.91
~~~~~chie,~~~~~Si,1.73
~~~~~chir,~~~~~SiR,47.59
~~~~~chis,~~~~~Si,34.84
~~~~~chit,~~~~~chit,3.81
~~~~~cho,~~~~~~So,2.63
~~~~~chon,~~~~~S§,1.31
~~~~~ché,~~~~Se,15.309999999999997
~~~~~chée,~~~~Se,5.359999999999999
~~~~~chés,~~~~Se,3.909999999999999
~~~~~ci,~~~~~si,23.52
~~~~~cie,~~~~~si,52.01
~~~~~cier,~~~~~sje,40.2
~~~~~cies,~~~~si,2.1999999999999997
~~~~~ciez,~~~~~sje,6.36
~~~~~cion,~~~~~sj§,1.21
~~~~~cit,~~~~~cit,1.31
~~~~~cié,~~~~sje,13.08
~~~~~ciée,~~~~sje,2.8
~~~~~clez,~~~~kle,1.01
~~~~~clé,~~~~kle,2.08
~~~~~clés,~~~~kle,2.06
~~~~~co,~~~~ko,1.52
~~~~~cord,~~~~kOR,2.41
~~~~~crer,~~~~kRe,10.83
~~~~~cret,~~~~kRE,2.29
~~~~~crit,~~~~~kRi,3.98
~~~~~cré,~~~~kRe,7.71
~~~~~crée,~~~~kRe,3.94
~~~~~crés,~~~~kRe,2.16
~~~~~cu,~~~~~ky,19.549999999999997
~~~~~cue,~~~~~cue,5.47
~~~~~cé,~~~~se,35.0
~~~~~cée,~~~~se,6.009999999999999
~~~~~cées,~~~~~se,1.04
~~~~~cés,~~~~~se,3.8699999999999997
~~~~~da,~~~~da,8.249999999999998
~~~~~dais,~~~dE,66.84
~~~~~dait,~~~dE,32.13
~~~~~dant,~~~~~dant,48.870000000000005
~~~~~dat,~~~~da,9.63
~~~~~dats,~~~~da,5.67
~~~~~de,~~~~~de,9.14
~~~~~dent,~~~~~d@,137.2
~~~~~der,~~~~~der,222.42000000000004
~~~~~deur,~~~~d9R,14.65
~~~~~dez,~~~de,275.77
~~~~~di,~~~~di,4.6899999999999995
~~~~~die,~~~di,19.169999999999998
~~~~~dien,~~~~dj5,6.79
~~~~~dier,~~~~~dje,2.78
~~~~~dies,~~~di,2.28
~~~~~diez,~~~dje,9.500000000000002
~~~~~dir,~~~~diR,6.0
~~~~~dis,~~~~di,9.790000000000001
~~~~~dit,~~~~di,54.75000000000001
~~~~~dits,~~~~di,4.390000000000001
~~~~~dié,~~~dje,2.02
~~~~~do,~~~~do,1.66
~~~~~dons,~~~d§,23.400000000000002
~~~~~dor,~~~~dOR,1.51
