word,pron,freq
~~~~bo,~~~~bo,2.56
~~~~bé,~~~be,5.3999999999999995
~~~~ce,~~~~s,18.65
~~~~co,~~~ko,6.0600000000000005
~~~~cu,~~ky,9.7
~~~~cé,~~~se,68.57000000000001
~~~~da,~~~da,6.76
~~~~de,~~~~d,2.9000000000000004
~~~~di,~~~~di,44.51
~~~~do,~~~~do,2.09
~~~~du,~~~dy,5.0200000000000005
~~~~dy,~~~~di,3.18
~~~~dé,~~~~de,114.52000000000002
~~~~fi,~~fi,1.25
~~~~fé,~~fe,6.28
~~~~ga,~~~~ga,1.69
~~~~ge,~~~~ge,123.73
~~~~go,~~~~go,3.66
~~~~gu,~~~gy,1.77
~~~~gé,~~Ze,119.62
~~~~hi,~~~i,5.050000000000001
~~~~la,~~~la,2.6499999999999995
~~~~le,~~~~l,12.11
~~~~li,~~~~li,43.71
~~~~lo,~~~~lo,9.35
~~~~lu,~~~~ly,21.11
~~~~lé,~~~~le,422.81999999999977
~~~~ma,~~~~ma,73.75999999999999
~~~~me,~~~~m,2.6
~~~~mi,~~~mi,68.48
~~~~mé,~~~me,20.270000000000003
~~~~na,~~~~na,3.75
~~~~ni,~~~ni,12.5
~~~~no,~~~~no,21.73
~~~~nu,~~~~ny,194.76999999999998
~~~~né,~~~ne,66.39
~~~~pa,~~~pa,2.96
~~~~pé,~~~pe,143.77
~~~~ra,~~~~Ra,122.68000000000005
~~~~re,~~~~R,19.18
~~~~ri,~~Ri,27.04
~~~~ro,~~~~Ro,165.31
~~~~ru,~~~Ry,6.43
~~~~ry,~~Ri,2.88
~~~~ré,~~~~Re,88.28000000000002
~~~~s,~~~~s,1.1099999999999999
~~~~sa,~~sa,4.24
~~~~se,~~~~s,11.82
~~~~si,~~~~si,61.959999999999994
~~~~sé,~~se,174.43
~~~~ta,~~~~ta,6.079999999999998
~~~~te,~~~~t,85.86
~~~~ti,~~~~ti,34.45
~~~~to,~~to,5.2299999999999995
~~~~tu,~~~ty,15.65
~~~~té,~~~~te,353.78000000000003
~~~~va,~~~va,10.61
~~~~vu,~~~vy,18.5
~~~~vé,~~~ve,635.7099999999999
~~~~za,~~~~za,2.73
~~~~zé,~~~ze,2.62
