,"word","pron","freq","len"
0,"a","a",473903,1
1,"à","a",671758,1
2,"â","a",856,1
3,"aa","aa",1797,2
4,"aaah","aaa",77,4
5,"abaissa","abEsa",52,7
6,"abaissai","abEsE",4,8
7,"abaissaient","abEsE",21,11
8,"abaissait","abEsE",48,9
9,"abaissant","abEs@",259,9
10,"abaissât","abEsa",1,8
11,"abaisse","abEs",540,7
12,"abaissé","abese",452,7
13,"abaissée","abese",198,8
14,"abaissées","abese",59,9
15,"abaissement","abEsm@",966,11
16,"abaissements","abEsm@",26,12
17,"abaissent","abEs",116,9
18,"abaisser","abese",1168,8
19,"abaissera","abEsRa",39,9
20,"abaisserai","abEsRE",6,10
21,"abaisseraient","abEsRE",4,13
22,"abaisserait","abEsRE",18,11
23,"abaissèrent","abEsER",12,11
24,"abaisses","abEs",22,8
25,"abaissés","abese",99,8
26,"abaisseurs","abEs9R",6,10
27,"abaissez","abEse",82,8
28,"abaissons","abEsA",9,9
29,"abalones","abalOn",1,8
30,"abandon","ab@dA",4558,7
31,"abandonne","ab@dOn",2036,9
32,"abandonnent","ab@dOn",761,11
33,"abandonnes","ab@dOn",70,10
34,"abandons","ab@dA",427,8
35,"abaque","abak",90,6
36,"abaques","abak",62,7
37,"abat","aba",710,4
38,"abatage","abataZ",12,7
39,"abatages","abataZ",1,8
40,"abatis","abati",18,6
41,"abats","aba",288,5
42,"abattage","abataZ",977,8
43,"abattages","abataZ",92,9
44,"abattaient","abatE",37,10
45,"abattais","abatE",1,8
46,"abattait","abatE",75,8
47,"abattant","abat@",147,8
48,"abattants","abat@",40,9
49,"abatte","abat",39,6
50,"abattement","abatm@",783,10
51,"abattements","abatm@",235,11
52,"abattent","abat",186,8
53,"abatteur","abat9R",17,8
54,"abatteurs","abat9R",23,9
55,"abatteuses","abat2z",12,10
56,"abattez","abate",42,7
57,"abattions","abatjA",1,9
58,"abattirent","abatiR",40,10
59,"abattis","abati",68,7
60,"abattit","abati",147,7
61,"abattoir","abatwaR",500,8
62,"abattoirs","abatwaR",544,9
63,"abattra","abatRa",48,7
64,"abattrai","abatRE",16,8
65,"abattraient","abatRE",5,11
66,"abattrais","abatRE",2,9
67,"abattrait","abatRE",10,9
68,"abattre","abatR",1181,7
69,"abattrons","abatRA",3,9
70,"abattront","abatRA",20,9
71,"abattu","abaty",1225,6
72,"abattue","abaty",350,7
73,"abattues","abaty",224,8
74,"abattures","abatyR",0,9
75,"abattus","abaty",686,7
76,"abbatial","abasjal",48,8
77,"abbatiale","abasjal",351,9
78,"abbatiales","abasjal",14,10
79,"abbaye","abei",2997,6
80,"abbayes","abei",386,7
81,"abbé","abe",2814,4
82,"abbés","abe",187,5
83,"abbesse","abEs",125,7
84,"abbesses","abEs",111,8
85,"abcès","apsE",349,5
86,"abcisses","apsis",6,8
87,"abdiqua","abdika",25,7
88,"abdiquai","abdikE",1,8
89,"abdiquaient","abdikE",2,11
90,"abdiquais","abdikE",0,9
91,"abdiquait","abdikE",8,9
92,"abdiquant","abdik@",11,9
93,"abdique","abdik",95,7
94,"abdiqué","abdike",75,7
95,"abdiquée","abdike",1,8
96,"abdiquent","abdik",15,9
97,"abdiquer","abdike",158,8
98,"abdiquera","abdikRa",7,9
99,"abdiquerai","abdikRE",1,10
100,"abdiquerais","abdikRE",1,11
101,"abdiquerait","abdikRE",3,11
102,"abdiquèrent","abdikER",2,11
103,"abdiquez","abdike",2,8
104,"abdomen","abdOmEn",625,7
105,"abducteur","abdykt9R",11,9
106,"abduction","abdyksjA",96,9
107,"abéché","abeSe",9,6
108,"abeillage","abEjaZ",0,9
109,"abeille","abEj",1001,7
110,"abeilles","abEj",1194,8
111,"abélien","abelj5",17,7
112,"abélienne","abeljEn",11,9
113,"abéliennes","abeljEn",20,10
114,"abéliens","abelj5",16,8
115,"aber","abe",409,4
116,"aberrance","abER@s",2,9
117,"aberrant","abER@",302,8
118,"aberrante","abER@t",145,9
119,"aberrantes","abER@t",117,10
120,"aberrants","abER@",83,9
121,"abêti","abeti",8,5
122,"abêties","abeti",1,7
123,"abêtir","abetiR",7,6
124,"abêtis","abeti",3,6
125,"abêtit","abeti",5,6
126,"abhorrais","abORE",3,9
127,"abhorrait","abORE",10,9
128,"abhorrant","abOR@",5,9
129,"abhorre","abOR",72,7
130,"abhorré","abORe",24,7
131,"abhorrée","abORe",11,8
132,"abhorrent","abOR",15,9
133,"abhorrer","abORe",14,8
134,"abhorrés","abORe",5,8
135,"abies","abi",75,5
136,"abîma","abima",12,5
137,"abîmai","abimE",1,6
138,"abîmaient","abimE",4,9
139,"abîmait","abimE",13,7
140,"abîmant","abim@",15,7
141,"abîmât","abima",0,6
142,"abîme","abim",984,5
143,"abîmé","abime",261,5
144,"abîmée","abime",153,6
145,"abîmées","abime",120,7
146,"abîment","abim",65,7
147,"abîmer","abime",319,6
148,"abîmera","abimRa",8,7
149,"abîmerai","abimRE",1,8
150,"abîmerais","abimRE",1,9
151,"abîmerait","abimRE",7,9
152,"abîmeras","abimRa",0,8
153,"abîmeront","abimRA",3,9
154,"abîmes","abim",285,6
155,"abîmés","abime",175,6
156,"abîmez","abime",6,6
157,"abîmions","abimjA",0,8
158,"abîmons","abimA",3,7
159,"abiotiques","abjOtik",77,10
160,"abject","abZEkt",107,6
161,"abjecte","abZEkt",82,7
162,"abjectes","abZEkt",35,8
163,"abjection","abZEksjA",93,9
164,"abjections","abZEksjA",6,10
165,"abjects","abZEkt",35,7
166,"abjuraient","abZyRE",1,10
167,"abjurant","abZyR@",10,8
168,"abjure","abZyR",28,6
169,"abjuré","abZyRe",19,6
170,"abjurent","abZyR",3,8
171,"abjurer","abZyRe",46,7
172,"abjureras","abZyRRa",0,9
173,"abjurons","abZyRA",0,8
174,"ablatif","ablatif",23,7
175,"ablation","ablasjA",437,8
176,"ablations","ablasjA",15,9
177,"able","abl",845,4
178,"ablette","ablEt",27,7
179,"ablettes","ablEt",22,8
180,"ablution","ablysjA",26,8
181,"ablutions","ablysjA",90,9
182,"abo","abO",648,3
183,"aboi","abwa",7,4
184,"aboie","abwa",143,5
