,word,freq,len,,
0,abaissa,2.64,7,,
1,abaissait,2.5,9,,"53,4029850746269"
2,abaissant,2.77,9,,
3,abaisse,5,7,,
4,abaissement,2.16,11,,
5,abaisser,2.91,8,,
6,abaissez,0.07,8,,
7,abandon,25.2,7,,
8,abandonna,8.92,9,,
9,abandonnai,2.16,10,,
10,abandonnaient,1.55,13,,
11,abandonnais,1.49,11,,
12,abandonnait,9.46,11,,
13,abandonnant,9.93,11,,
14,abandonne,47.91,9,,
15,abandonnee,17.9,10,,
16,abandonnees,5.67,11,,
17,abandonnent,2.64,11,,
18,abandonner,27.7,10,,
19,abandonnera,0.81,11,,
20,abandonnerai,0.41,12,,
21,abandonnerais,0.27,13,,
22,abandonnerent,1.42,13,,
23,abandonnes,9.8,10,,
24,abandonnez,0.88,10,,
25,abandons,2.16,8,,
26,abasourdi,4.12,9,,
27,abat,5.13,4,,
28,abatis,0.88,6,,
29,abats,1.35,5,,
30,abattage,1.15,8,,
31,abattaient,2.36,10,,
32,abattait,3.45,8,,
33,abattant,2.5,8,,
34,abattement,2.36,10,,
35,abattent,2.03,8,,
36,abattis,1.35,7,,
37,abattit,5.07,7,,
38,abattoir,2.36,8,,
39,abattoirs,2.3,9,,
40,abattra,0.61,7,,
41,abattraient,0.07,11,,
42,abattrait,0.41,9,,
43,abattre,14.32,7,,
44,abattront,0.07,9,,
45,abattu,12.43,6,,
46,abattue,3.98,7,,
47,abattus,3.71,7,,
48,abbaye,3.31,6,,
49,abbe,31.28,4,,
50,abbes,1.22,5,,
51,abces,3.31,5,,
52,abdication,1.82,10,,
53,abdomen,1.55,7,,
54,abeille,3.18,7,,
55,abeilles,6.69,8,,
56,aberrant,1.28,8,,
57,aberration,3.31,10,,
58,aberrations,1.15,11,,
59,abeti,0.61,5,,
60,abetir,0.54,6,,
61,abetis,0.14,6,,
62,abhorrant,0.07,9,,
63,abhorre,0.47,7,,
64,abima,0.74,5,,
65,abimaient,0.2,9,,
66,abimait,1.22,7,,
67,abime,21.48,5,,
68,abimee,1.76,6,,
69,abimer,5.95,6,,
70,abimeras,0.14,8,,
71,abimes,7.56,6,,
72,abimez,0.2,6,,
73,abject,1.69,6,,
74,abjecte,1.49,7,,
75,abjection,2.16,9,,
76,abjurer,0.68,7,,
77,ablation,1.28,8,,
78,ablations,0.07,9,,
79,ablutions,1.42,9,,
80,abnegation,3.58,10,,
81,aboie,2.03,5,,
82,aboiement,2.36,9,,
83,aboiements,3.58,10,,
84,abois,2.7,5,,
85,aboli,2.7,5,,
86,abolir,2.97,6,,
87,abolis,0.82,6,,
88,abolit,1.28,6,,
89,abolition,1.49,9,,
90,abominable,8.99,10,,
91,abominables,2.23,11,,
92,abomination,3.04,11,,
93,abominations,1.49,12,,
94,abomine,0.41,7,,
95,abondaient,1.42,10,,
96,abondamment,4.93,11,,
97,abondance,9.39,9,,
98,abondant,1.49,8,,
99,abondante,3.45,9,,
100,abondantes,1.22,10,,
101,abonnement,1.55,10,,
102,abonnes,1.69,7,,
103,abord,7.3,5,,
104,aborda,3.99,6,,
105,abordage,1.42,8,,
106,abordages,0.07,9,,
107,abordaient,1.28,10,,
108,abordait,2.5,8,,
109,abordant,1.42,8,,
110,aborde,5.47,6,,
111,aborder,12.91,7,,
112,abords,11.76,6,,
113,abouti,2.98,6,,
114,aboutie,0.07,7,,
115,aboutir,9.8,7,,
116,aboutissaient,1.15,13,,
117,aboutissait,2.5,11,,
118,aboutissant,1.29,11,,
119,aboutissement,4.05,13,,
120,aboutissent,1.49,11,,
121,aboutit,3.45,7,,
122,aboya,1.42,5,,
123,aboyait,1.55,7,,
124,aboyant,1.42,7,,
125,aboyer,3.04,6,,
126,aboyeurs,0.41,8,,
127,abracadabra,0.27,11,,
128,abrege,1.28,6,,
129,abreger,1.82,7,,
130,abreuve,1.08,7,,
131,abreuver,2.09,8,,
132,abreuvoir,3.24,9,,
133,abri,51.08,4,,
134,abricot,1.83,7,,
135,abricots,1.35,8,,
136,abris,5.68,5,,
137,abritaient,1.49,10,,
138,abritait,4.53,8,,
139,abritant,1.82,8,,
140,abrite,6.49,6,,
141,abritee,1.49,7,,
142,abritent,1.15,8,,
143,abriter,6.96,7,,
144,abrites,1.15,7,,
145,abritez,0.2,7,,
146,abrupt,2.57,6,,
147,abrupte,2.84,7,,
148,abruptement,2.03,11,,
149,abruptes,1.55,8,,
150,abruti,9.19,6,,
151,abrutir,0.95,7,,
152,abrutis,4.25,7,,
153,abrutissement,1.42,13,,
154,abrutissions,0.07,12,,
155,absence,72.5,7,,
156,absences,3.78,8,,
157,absent,20.34,6,,
158,absentait,1.15,9,,
159,absentant,0.07,9,,
160,absente,9.74,7,,
161,absenter,1.49,8,,
162,absentes,0.07,8,,
163,absents,6.76,7,,
164,abside,1.55,6,,
165,absinthe,2.91,8,,
166,absolu,23.45,6,,
167,absolue,16.15,7,,
168,absolues,1.01,8,,
169,absolument,63.45,10,,
170,absolution,2.5,10,,
171,absolutisme,0.68,11,,
172,absorba,2.03,7,,
173,absorbait,3.11,9,,
174,absorbante,0.27,10,,
175,absorbe,13.52,7,,
176,absorbee,2.91,8,,
177,absorber,4.53,8,,
178,absorbes,2.16,8,,
179,absorption,1.89,10,,
180,absoudre,1.55,8,,
181,absous,1.76,6,,
182,absoute,0.28,7,,
183,abstenir,2.77,8,,
184,abstention,1.28,10,,
185,abstenu,0.81,7,,
186,abstenus,0.14,8,,
187,abstinence,1.42,10,,
188,abstraction,2.09,11,,
189,abstractions,0.88,12,,
190,abstrait,6.22,8,,
191,abstraite,5,9,,
192,abstraites,1.75,10,,
193,abstraits,2.1,9,,
194,absurde,29.53,7,,
195,absurdement,3.72,11,,
196,absurdes,6.35,8,,
197,absurdite,5.54,9,,
198,abus,8.58,4,,
199,abusait,1.82,7,,
200,abuse,4.73,5,,
201,abuser,4.12,6,,
202,abusez,0.34,6,,
203,abusivement,1.15,11,,
204,acabit,1.55,6,,
205,acacia,3.24,6,,
206,acacias,3.11,7,,
207,academie,8.31,8,,
208,academies,1.15,9,,
209,academique,0.61,10,,
210,academiques,0.54,11,,
211,acajou,7.43,6,,
212,acariatre,1.22,9,,
