"word","pron","lemme","freq","islem","len","phlen","voisorth","voisphon","syll","nbsyll","Moy_Consistance_GP","Min_Consistance_GP","Nb_Irregular_GP","Pos_Irregular_GP","Moy_Consistance_PG","Min_Consistance_PG","Nb_Irregular_PG","Pos_Irregular_PG","Decom_GP"
"!a!","!a!","a",58.65,1,3,3,25,20,"a",1,"1","1","0","0","1","1","0","0","a-a"
"!abaissement!","!abEs°m@!","abaissement",2.16,1,13,9,0,1,"a-bE-s°-m@",4,"0,82","0,34","1","7","0,67","0,15","3","3","a-a.b-b.ai-E.ss-s.e-°.m-m.ent-@"
"!abaisser!","!abese!","abaisser",18.04,1,10,7,2,2,"a-be-se",3,"0,81","0,09","1","3","0,52","0,01","3","3","a-a.b-b.ai-e.ss-s.er-e"
"!abandon!","!ab@d&!","abandon",27.36,1,9,7,0,1,"a-b@-d§",3,"0,99","0,96","0","0","0,77","0,35","1","5","a-a.b-b.an-@.d-d.on-§"
"!abandonner!","!ab@done!","abandonner",128.45,1,12,9,2,4,"a-b@-do-ne",4,"0,95","0,7","0","0","0,7","0,24","2","6","a-a.b-b.an-@.d-d.o-o.nn-n.er-e"
"!abandonné!","!ab@done!","abandonné",24.39,1,11,9,2,4,"a-b@-do-ne",4,"0,95","0,7","0","0","0,72","0,24","1","6","a-a.b-b.an-@.d-d.o-o.nn-n.é-e"
"!abasourdi!","!abazuRdi!","abasourdi",2.64,1,11,10,0,0,"a-ba-zuR-di",4,"0,92","0,51","0","0","0,91","0,44","0","0","a-a.b-b.a-a.s-z.ou-u.r-R.d-d.i-i"
"!abasourdir!","!abazuRdiR!","abasourdir",2.97,1,12,11,2,0,"a-ba-zuR-diR",4,"0,9","0,51","0","0","0,98","0,95","0","0","a-a.b-b.a-a.s-z.ou-u.r-R.d-d.i-i.r-R"
"!abat!","!aba!","abat",1.01,1,6,5,1,20,"a-ba",2,"0,94","0,82","0","0","0,74","0,01","1","4","a-a.b-b.a-a.t-#"
"!abattage!","!abataZ!","abattage",1.28,1,10,8,0,0,"a-ba-taZ",3,"0,99","0,96","0","0","0,83","0,07","1","4","a-a.b-b.a-a.tt-t.a-a.ge-Z"
"!abattement!","!abat°m@!","abattement",2.64,1,12,9,0,1,"a-ba-t°-m@",4,"0,83","0,34","1","7","0,75","0,07","2","4","a-a.b-b.a-a.tt-t.e-°.m-m.ent-@"
"!abattis!","!abati!","abattis",1.08,1,9,7,3,11,"a-ba-ti",3,"0,94","0,75","0","0","0,69","0,07","2","4","a-a.b-b.a-a.tt-t.i-i.s-#"
"!abattoir!","!abatwaR!","abattoir",4.66,1,10,9,0,1,"a-ba-twaR",3,"0,99","0,96","0","0","0,83","0,07","1","4","a-a.b-b.a-a.tt-t.oi-wa.r-R"
"!abattre!","!abatR!","abattre",50.61,1,9,7,3,7,"a-batR",2,"0,99","0,96","0","0","0,73","0,07","1","4","a-a.b-b.a-a.tt-t.r-R.e-#"
"!abattu!","!abaty!","abattu",7.09,1,8,7,1,7,"a-ba-ty",3,"0,99","0,96","0","0","0,74","0,07","1","4","a-a.b-b.a-a.tt-t.u-y"
"!abattu!","!abaty!","abattu",1.42,1,8,7,1,7,"a-ba-ty",3,"0,99","0,96","0","0","0,74","0,07","1","4","a-a.b-b.a-a.tt-t.u-y"
"!abbaye!","!abei!","abbaye",3.78,1,8,6,0,2,"a-be-i",3,"0,76","0,01","1","3","0,29","0","3","2","a-a.bb-b.a-e.y-i.e-#"
"!abbé!","!abe!","abbé",33.51,1,6,5,0,15,"a-be",2,"1","1","0","0","0,47","0","1","2","a-a.bb-b.é-e"
