idx,word,pron,freq,len,phlen,nsyl,nbhomogr,nhomoph
0,a,a,11930.61,1,1,3,9,24
1,aa,aa,0.01,2,2,2,1,2
2,abaca,abaka,0.01,5,5,3,1,1
3,abaissai,abEsE,0.1,8,5,3,1,3
4,abaissait,abEsE,0.02,9,5,3,1,3
5,abaissant,abEs@,0.04,9,5,6,4,4
6,abaissante,abEs@t,0.01,10,6,3,1,1
7,abaisse,abEs,1.3,7,4,4,4,12
8,abaissement,abEs°m@,0.31,11,7,4,1,1
9,abaissent,abEs,0.05,9,4,2,1,6
10,abaisser,abese,1.09,8,5,3,1,10
11,abaissera,abEs°Ra,0.19,9,7,4,1,1
12,abaisserai,abEs°RE,0.1,10,7,4,1,4
13,abaisseraient,abEs°RE,0.01,13,7,4,1,4
14,abaisserais,abEs°RE,0.13,11,7,4,1,4
15,abaisserait,abEs°RE,0.02,11,7,4,1,4
16,abaisses,abEs,0.16,8,4,2,1,6
17,abaissez,abEse,0.53,8,5,3,1,1
18,abaissons,abEs&,0.02,9,5,3,1,1
19,abaissé,abese,0.77,7,5,6,4,20
20,abaissée,abese,0.17,8,5,3,2,10
21,abaissées,abese,0.03,9,5,6,4,20
22,abaissés,abese,0.31,8,5,6,4,20
23,abalone,abalOn,0.01,7,6,3,1,2
24,abandon,ab@d&,4.77,7,5,3,1,2
25,abandonna,ab@dona,0.59,9,7,4,1,3
26,abandonnai,ab@donE,0.27,10,7,4,1,4
27,abandonnaient,ab@donE,0.07,13,7,4,1,4
28,abandonnais,ab@donE,0.35,11,7,4,1,4
29,abandonnait,ab@donE,1.04,11,7,4,1,4
30,abandonnant,ab@don@,1.15,11,7,4,1,1
31,abandonne,ab@dOn,24.04,9,6,3,1,3
32,abandonnent,ab@dOn,2.44,11,6,3,1,3
33,abandonner,ab@done,28.37,10,7,4,1,10
34,abandonnera,ab@dOn°Ra,1.52,11,9,5,1,2
35,abandonnerai,ab@dOn°RE,2.39,12,9,5,1,4
36,abandonneraient,ab@dOn°RE,0.02,15,9,5,1,4
37,abandonnerais,ab@dOn°RE,0.93,13,9,5,1,4
38,abandonnerait,ab@dOn°RE,0.23,13,9,5,1,4
39,abandonneras,ab@dOn°Ra,0.3,12,9,5,1,2
40,abandonnerez,ab@dOn°Re,0.14,12,9,5,1,1
41,abandonneriez,ab@dOn°Rje,0.23,13,10,5,1,1
42,abandonnerions,ab@dOn°Rj&,0.01,14,10,5,1,1
43,abandonnerons,ab@dOn°R&,0.39,13,9,5,1,2
44,abandonneront,ab@dOn°R&,0.41,13,9,5,1,2
45,abandonnes,ab@dOn,4.13,10,6,3,1,3
46,abandonnez,ab@done,5.72,10,7,4,1,10
47,abandonniez,ab@donje,0.14,11,8,4,1,1
48,abandonnions,ab@donj&,0.06,12,8,4,1,1
49,abandonnons,ab@don&,1.06,11,7,4,1,1
50,abandonnèrent,ab@donER,0.16,13,8,4,1,1
51,abandonné,ab@done,26.4,9,7,8,4,20
52,abandonnée,ab@done,10.28,10,7,8,4,20
53,abandonnées,ab@done,1.71,11,7,8,4,20
54,abandonnés,ab@done,4.6,10,7,8,4,20
55,abandons,ab@d&,0.07,8,5,3,1,2
56,abasourdi,abazuRdi,0.59,9,8,8,4,12
57,abasourdie,abazuRdi,0.26,10,8,8,4,12
58,abasourdir,abazuRdiR,0.01,10,9,4,1,1
59,abasourdis,abazuRdi,0.09000000000000001,10,8,8,4,12
60,abasourdissant,abazuRdis@,0.01,14,10,5,1,2
