,word,pron,freq,len,phlen
0,abacial,abaTjal,0.535714286,7,7
1,abad,abad,5.0,4,4
2,abadejo,abadexo,0.357142857,7,7
3,abadesa,abadesa,1.428571429,7,7
4,abadia,abadIa,1.071428571,6,6
5,abajo,abaxo,100.3571429,5,5
6,abalorio,abaloRjo,0.178571429,8,8
7,abanderada,abandeRada,0.535714286,10,10
8,abanderado,abandeRado,0.892857143,10,10
9,abandonada,abandonada,11.78571429,10,10
10,abandonado,abandonado,27.85714286,10,10
11,abandonar,abandonaR,48.39285714,9,9
12,abandonista,abandonIsta,0.357142857,11,11
13,abandono,abandono,26.07142857,8,8
14,abanico,abanIko,8.214285714,7,7
15,abanto,abanto,0.178571429,6,6
16,abaratar,abaRataR,1.25,8,8
17,abarca,abaRka,5.714285714,6,6
18,abarcada,abaRkada,0.357142857,8,8
19,abarcado,abaRkado,0.357142857,8,8
20,abarcar,abaRkaR,4.464285714,7,7
21,abarquillada,abaRkjLada,0.178571429,12,10
22,abarrote,abarote,0.178571429,8,7
23,abastecedor,abasteTedoR,0.178571429,11,11
24,abastecedora,abasteTedoRa,0.178571429,12,12
25,abastecer,abasteTeR,1.428571429,9,9
26,abasto,abasto,2.142857143,6,6
27,abate,abate,1.428571429,5,5
28,abatible,abatIble,0.178571429,8,8
29,abatida,abatIda,1.428571429,7,7
30,abatido,abatIdo,5.0,7,7
31,abatimiento,abatImjento,3.214285714,11,11
32,abatir,abatIR,0.892857143,6,6
33,abati,abatI,0.357142857,5,5
34,abdicacion,abdIkaTIon,0.357142857,10,10
35,abdicar,abdIkaR,0.178571429,7,7
36,abdomen,abdomen,5.535714286,7,7
37,abdominal,abdomInal,2.5,9,9
38,abecedario,abeTedaRjo,0.357142857,10,10
39,abedul,abedUl,0.357142857,6,6
40,abeja,abexa,3.571428571,5,5
41,abejorro,abexoro,0.178571429,8,7
42,abejon,abexon,0.178571429,6,6
43,aberracion,aberaTIon,2.857142857,10,9
44,aberrante,aberante,2.678571429,9,8
45,abertura,abeRtURa,3.75,8,8
46,abeto,abeto,1.25,5,5
47,abierta,abjeRta,54.82142857,7,7
48,abiertamente,abjeRtamente,10.71428571,12,12
49,abierto,abjeRto,65.17857143,7,7
50,abigarrada,abIgarada,2.321428571,10,9
51,abigarrado,abIgarado,2.678571429,10,9
52,abisal,abIsal,0.535714286,6,6
53,abismado,abIsmado,0.178571429,8,8
54,abismal,abIsmal,2.678571429,7,7
55,abismo,abIsmo,16.42857143,6,6
56,abjuracion,abxURaTIon,0.535714286,10,10
57,abjurar,abxURaR,0.535714286,7,7
58,ablacion,ablaTIon,0.178571429,8,8
59,ablandar,ablandaR,1.428571429,8,8
60,ablande,ablande,0.178571429,7,7
61,ablucion,ablUTIon,0.178571429,8,8
62,abnegacion,abnegaTIon,4.107142857,10,10
63,abnegada,abnegada,1.071428571,8,8
64,abnegado,abnegado,1.25,8,8
65,abobada,abobada,0.178571429,7,7
66,abocada,abokada,0.357142857,7,7
67,abocado,abokado,2.142857143,7,7
68,abocar,abokaR,0.357142857,6,6
69,abocetada,aboTetada,0.178571429,9,9
70,abochornada,aboJoRnada,0.535714286,11,10
71,abochornado,aboJoRnado,0.714285714,11,10
72,abocinada,aboTInada,0.178571429,9,9
73,abofetear,abofeteaR,0.357142857,9,9
74,abogacia,abogaTIa,0.714285714,8,8
75,abogada,abogada,3.214285714,7,7
76,abogado,abogado,39.82142857,7,7
77,abolengo,abolengo,1.607142857,8,8
78,abolicion,abolITIon,1.785714286,9,9
79,abolir,abolIR,2.321428571,6,6
80,abollada,aboLada,0.178571429,8,7
81,abombada,abombada,0.178571429,8,8
82,abombado,abombado,0.178571429,8,8
83,abominable,abomInable,4.642857143,10,10
84,abominacion,abomInaTIon,0.535714286,11,11
85,abominar,abomInaR,0.357142857,8,8
86,abonada,abonada,0.892857143,7,7
87,abonado,abonado,2.678571429,7,7
88,abonar,abonaR,2.5,6,6
89,abono,abono,1.785714286,5,5
90,abordable,aboRdable,0.178571429,9,9
91,abordaje,aboRdaxe,2.321428571,8,8
92,abordar,aboRdaR,14.46428571,7,7
93,abordo,aboRdo,0.535714286,6,6
94,aborigen,aboRIxen,0.357142857,8,8
95,aborrecer,aboreTeR,0.714285714,9,8
96,aborrecible,aboreTIble,0.357142857,11,10
97,abortamiento,aboRtamjento,0.178571429,12,12
