,"Unnamed: 0","ortho","word","phono","freq","len","pron","phlen"
0,0,"de","de","d°","38928.92",2,"d°",2
1,1,"la","la","la","23633.92",2,"la",2
2,2,"la","la","la","23633.92",2,"la",2
3,3,"et","et","e","20879.73",2,"e",1
4,4,"a","a","a","19209.05",1,"a",1
5,5,"a","a","a","19209.05",1,"a",1
6,6,"il","il","il","15832.09",2,"il",2
7,7,"les","les","le","14662.3",3,"le",2
8,8,"ne","ne","n°","13841.89",2,"n°",2
9,9,"je","je","Z°","10862.77",2,"Z°",2
10,10,"des","des","de","10624.93",3,"de",2
11,11,"u-ne","une","y-n°","9587.97",3,"yn°",3
12,12,"pas","pas","pa","8795.14",3,"pa",2
13,13,"en","en","@","8732.57",2,"@",1
14,14,"dans","dans","d@","8296.08",4,"d@",2
15,15,"qui","qui","ki","7923.24",3,"ki",2
16,16,"e-lle","elle","e-l°","6991.49",4,"el°",3
17,17,"du","du","dy","6882.16",2,"dy",2
18,18,"se","se","s°","6587.77",2,"s°",2
19,19,"ê-tre","être","e-tR°","6501.82",4,"etR°",4
20,20,"a-voir","avoir","a-vwaR","6426.49",5,"avwaR",5
21,21,"pour","pour","puR","6198.24",4,"puR",3
22,22,"fai-re","faire","fe-R°","5328.99",5,"feR°",4
23,23,"au","au","o","5322.5",2,"o",1
24,24,"sur","sur","syR","5320.47",3,"syR",3
25,25,"sur","sur","syR","5320.47",3,"syR",3
26,26,"plus","plus","ply","5014.53",4,"ply",3
27,27,"on","on","&","4838.38",2,"&",1
28,28,"di-re","dire","di-R°","4832.5",4,"diR°",4
29,29,"mais","mais","me","4463.72",4,"me",2
30,30,"me","me","m°","4264.32",2,"m°",2
31,31,"lui","lui","l8i","4225.14",3,"lyi",3
32,32,"a-vec","avec","a-vek","4000.41",4,"avek",4
33,33,"nous","nous","nu","3867.84",4,"nu",2
34,34,"sa","sa","sa","3732.43",2,"sa",2
35,35,"par","par","paR","3727.09",3,"paR",3
36,36,"vous","vous","vu","3507.16",4,"vu",2
37,37,"que","que","k°","3315.95",3,"k°",2
38,38,"ses","ses","se","3105.41",3,"se",2
39,39,"y","y","i","3086.76",1,"i",1
40,40,"ce","ce","s°","2958.58",2,"s°",2
41,41,"ils","ils","il","2809.53",3,"il",2
42,42,"pou-voir","pouvoir","pu-vwaR","2659.8",7,"puvwaR",6
43,43,"ou","ou","u","2429.86",2,"u",1
44,44,"le","le","l°","2424.19",2,"l°",2
45,45,"voir","voir","vwaR","2401.76",4,"vwaR",4
46,46,"ce-tte","cette","se-t°","2320.68",5,"set°",4
47,47,"mon","mon","m&","2307.97",3,"m&",2
48,48,"sans","sans","s@","2224.12",4,"s@",2
49,49,"ou","ou","u","2068.11",2,"u",1
50,50,"ou","ou","u","2068.11",2,"u",1
51,51,"aux","aux","o","1907.57",3,"o",1
52,52,"ma","ma","ma","1667.16",2,"ma",2
53,53,"en-co-re","encore","@-ko-R°","1579.05",6,"@koR°",5
54,54,"deux","deux","d2","1557.91",4,"d2",2
55,55,"ces","ces","se","1547.5",3,"se",2
56,56,"ve-nir","venir","v°-niR","1514.53",5,"v°niR",5
57,57,"quand","quand","k@","1480.07",5,"k@",2
58,58,"pren-dre","prendre","pR@-dR°","1466.42",7,"pR@dR°",6
59,59,"ho-mme","homme","o-m°","1398.85",5,"om°",3
60,60,"au-ssi","aussi","o-si","1359.86",5,"osi",3
61,61,"jour","jour","ZuR","1341.76",4,"ZuR",3
62,62,"temps","temps","t@","1289.39",5,"t@",2
63,63,"fa-lloir","falloir","fa-lwaR","1250.41",7,"falwaR",6
64,64,"oeil","oeil","2j","1234.59",4,"2j",2
65,65,"main","main","m5","1229.39",4,"m5",2
66,66,"pa-sser","passer","pa-se","1165.27",6,"pase",4
67,67,"fois","fois","fwa","1140.0",4,"fwa",3
68,68,"ja-mais","jamais","Za-me","1122.97",6,"Zame",4
69,69,"très","très","tRe","1120.81",4,"tRe",3
70,70,"tou-jours","toujours","tu-ZuR","1093.78",8,"tuZuR",5
71,71,"me-ttre","mettre","me-tR°","1083.72",6,"metR°",5
72,72,"cho-se","chose","So-z°","1057.64",5,"Soz°",4
73,73,"a-lors","alors","a-loR","1033.78",5,"aloR",4
74,74,"sous","sous","su","1032.7",4,"su",2
75,75,"mes","mes","me","1023.11",3,"me",2
76,76,"re-gar-der","regarder","R°-gaR-de","997.91",8,"R°gaRde",7
77,77,"fe-mme","femme","fa-m°","995.74",5,"fam°",4
78,78,"de-man-der","demander","d°-m@-de","984.46",8,"d°m@de",6
79,79,"trou-ver","trouver","tRu-ve","972.5",7,"tRuve",5
80,80,"dont","dont","d&","960.34",4,"d&",2
81,81,"vers","vers","veR","956.15",4,"veR",3
82,82,"sui-vre","suivre","s8i-vR°","949.12",6,"syivR°",6
83,83,"croi-re","croire","kRwa-R°","947.23",6,"kRwaR°",6
84,84,"si","si","si","933.99",2,"si",2
85,85,"heu-re","heure","2-R°","924.05",5,"2R°",3
86,86,"tê-te","tête","te-t°","923.45",4,"tet°",4
87,87,"seul","seul","s2l","915.27",4,"s2l",3
88,88,"do-nner","donner","do-ne","896.01",6,"done",4
89,89,"pen-ser","penser","p@-se","869.8",6,"p@se",4
90,90,"vie","vie","vi","853.31",3,"vi",2
91,91,"lai-sser","laisser","le-se","851.55",7,"lese",4
92,92,"tout","tout","tu","838.04",4,"tu",2
93,93,"coup","coup","ku","837.7",4,"ku",2
94,94,"puis","puis","p8i","836.42",4,"pyi",3
95,95,"en-tre","entre","@-tR°","833.99",5,"@tR°",4
96,96,"a-près","après","a-pRe","821.55",5,"apRe",4
97,97,"mê-me","même","me-m°","804.8",4,"mem°",4
98,98,"ai-mer","aimer","e-me","795.61",5,"eme",3
99,99,"res-ter","rester","Res-te","793.78",6,"Reste",5
100,100,"trop","trop","tRo","790.0",4,"tRo",3
101,101,"bon","bon","b&","789.66",3,"b&",2
102,102,"te","te","t°","774.32",2,"t°",2
103,103,"mè-re","mère","me-R°","761.28",4,"meR°",4
104,104,"ce-la","cela","s°-la","741.82",4,"s°la",4
