word,ortho,pron,freq,
de,de,d°,38928.92,
la,la,la,23633.92,
la,la,la,23633.92,
et,et,e,20879.73,
a,a,a,19209.05,
a,a,a,19209.05,
il,il,il,15832.09,
les,les,le,14662.3,
ne,ne,n°,13841.89,
je,je,Z°,10862.77,
des,des,de,10624.93,
u-ne,une,y-n°,9587.97,
pas,pas,pa,8795.14,
en,en,@,8732.57,
dans,dans,d@,8296.08,
qui,qui,ki,7923.24,
e-lle,elle,e-l°,6991.49,
du,du,dy,6882.16,
se,se,s°,6587.77,
ê-tre,être,e-tR°,6501.82,
a-voir,avoir,a-vwaR,6426.49,
pour,pour,puR,6198.24,
fai-re,faire,fe-R°,5328.99,
au,au,o,5322.5,
sur,sur,syR,5320.47,
sur,sur,syR,5320.47,
plus,plus,ply,5014.53,
on,on,&,4838.38,
di-re,dire,di-R°,4832.5,
mais,mais,me,4463.72,
me,me,m°,4264.32,
lui,lui,l8i,4225.14,
a-vec,avec,a-vek,4000.41,
nous,nous,nu,3867.84,
sa,sa,sa,3732.43,
par,par,paR,3727.09,
vous,vous,vu,3507.16,
que,que,k°,3315.95,
ses,ses,se,3105.41,
y,y,i,3086.76,
ce,ce,s°,2958.58,
ils,ils,il,2809.53,
pou-voir,pouvoir,pu-vwaR,2659.8,
ou,ou,u,2429.86,
le,le,l°,2424.19,
voir,voir,vwaR,2401.76,
ce-tte,cette,se-t°,2320.68,
mon,mon,m&,2307.97,
sans,sans,s@,2224.12,
ou,ou,u,2068.11,
ou,ou,u,2068.11,
aux,aux,o,1907.57,
ma,ma,ma,1667.16,
en-co-re,encore,@-ko-R°,1579.05,
deux,deux,d2,1557.91,
ces,ces,se,1547.5,
ve-nir,venir,v°-niR,1514.53,
quand,quand,k@,1480.07,
pren-dre,prendre,pR@-dR°,1466.42,
ho-mme,homme,o-m°,1398.85,
au-ssi,aussi,o-si,1359.86,
jour,jour,ZuR,1341.76,
temps,temps,t@,1289.39,
fa-lloir,falloir,fa-lwaR,1250.41,
oeil,oeil,2j,1234.59,
main,main,m5,1229.39,
pa-sser,passer,pa-se,1165.27,
fois,fois,fwa,1140.0,
ja-mais,jamais,Za-me,1122.97,
très,très,tRe,1120.81,
tou-jours,toujours,tu-ZuR,1093.78,
me-ttre,mettre,me-tR°,1083.72,
cho-se,chose,So-z°,1057.64,
a-lors,alors,a-loR,1033.78,
sous,sous,su,1032.7,
mes,mes,me,1023.11,
re-gar-der,regarder,R°-gaR-de,997.91,
fe-mme,femme,fa-m°,995.74,
de-man-der,demander,d°-m@-de,984.46,
trou-ver,trouver,tRu-ve,972.5,
dont,dont,d&,960.34,
vers,vers,veR,956.15,
sui-vre,suivre,s8i-vR°,949.12,
croi-re,croire,kRwa-R°,947.23,
si,si,si,933.99,
heu-re,heure,2-R°,924.05,
tê-te,tête,te-t°,923.45,
seul,seul,s2l,915.27,
do-nner,donner,do-ne,896.01,
pen-ser,penser,p@-se,869.8,
vie,vie,vi,853.31,
lai-sser,laisser,le-se,851.55,
tout,tout,tu,838.04,
coup,coup,ku,837.7,
puis,puis,p8i,836.42,
en-tre,entre,@-tR°,833.99,
a-près,après,a-pRe,821.55,
mê-me,même,me-m°,804.8,
ai-mer,aimer,e-me,795.61,
res-ter,rester,Res-te,793.78,
trop,trop,tRo,790.0,
bon,bon,b&,789.66,
te,te,t°,774.32,
mè-re,mère,me-R°,761.28,
ce-la,cela,s°-la,741.82,
mon-de,monde,m&-d°,741.35,
te-nir,tenir,t°-niR,741.22,
nuit,nuit,n8i,738.24,
quel-ques,quelques,kel-k°,732.57,
en-fant,enfant,@-f@,725.68,
pè-re,père,pe-R°,723.51,
a-rri-ver,arriver,a-Ri-ve,723.04,
en-ten-dre,entendre,@-t@-dR°,719.12,
sen-tir,sentir,s@-tiR,718.78,
moins,moins,mw5,718.18,
a-tten-dre,attendre,a-t@-dR°,706.69,
dé-ja,déja,de-Za,702.23,
air,air,eR,690.81,
mo-ment,moment,mo-m@,688.24,
an,an,@,685.81,
no-tre,notre,no-tR°,680.68,
no-tre,notre,no-tR°,680.68,
chez,chez,Se,680.54,
pre-mier,premier,pR2-mje,672.57,
ni,ni,ni,662.36,
trois,trois,tRwa,660.34,
oui,oui,wi,637.57,
co-nnaî-tre,connaître,ko-ne-tR°,629.26,
sor-tir,sortir,soR-tiR,627.57,
beau,beau,bo,620.07,
por-te,porte,poR-t°,617.43,
com-pren-dre,comprendre,k&-pR@-dR°,614.8,
voix,voix,vwa,612.7,
e-lles,elles,e-l°,605.14,
f-ille,fille,fi-j°,592.23,
con-tre,contre,k&-tR°,591.15,
nos,nos,no,579.19,
mai-son,maison,me-z&,575.34,
a-vant,avant,a-v@,574.32,
sem-bler,sembler,s@-ble,572.84,
jeu-ne,jeune,Z2-n°,569.19,
jeu-ne,jeune,Z2-n°,569.19,
co-té,coté,ko-te,566.49,
co-té,coté,ko-te,566.49,
vi-sa-ge,visage,vi-za-Z°,565.0,
peu,peu,p2,563.58,
rue,rue,Ry,562.97,
soir,soir,swaR,562.64,
quel-que,quelque,kel-k°,557.77,
mot,mot,mo,553.78,
de-puis,depuis,d°-p8i,542.64,
de-ve-nir,devenir,d°-v°-niR,533.51,
vieux,vieux,vj2,512.91,
eux,eux,2,504.26,
cet,cet,set,497.5,
main-te-nant,maintenant,m5-t°-n@,496.76,
ou-vrir,ouvrir,u-vRiR,492.5,
re-ve-nir,revenir,R°-v°-niR,490.54,
bras,bras,bRa,487.97,
pied,pied,pje,486.42,
cha-que,chaque,Sa-k°,486.35,
par-tir,partir,paR-tiR,485.68,
i-ci,ici,i-si,483.58,
noir,noir,nwaR,482.23,
corps,corps,koR,480.34,
por-ter,porter,poR-te,474.93,
ain-si,ainsi,5-si,469.46,
car,car,kaR,469.32,
pla-ce,place,pla-s°,468.58,
ren-dre,rendre,R@-dR°,468.11,
ré-pon-dre,répondre,Re-p&-dR°,466.76,
pres-que,presque,pRes-k°,465.54,
a-ppe-ler,appeler,a-p°-le,465.34,
